"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","characteristics_ch1.3","characteristics_ch1.4","characteristics_ch1.5","characteristics_ch1.6","characteristics_ch1.7","characteristics_ch1.8","characteristics_ch1.9","characteristics_ch1.10","characteristics_ch1.11","characteristics_ch1.12","characteristics_ch1.13","characteristics_ch1.14","characteristics_ch1.15","characteristics_ch1.16","characteristics_ch1.17","characteristics_ch1.18","characteristics_ch1.19","characteristics_ch1.20","characteristics_ch1.21","characteristics_ch1.22","characteristics_ch1.23","characteristics_ch1.24","characteristics_ch1.25","characteristics_ch1.26","characteristics_ch1.27","characteristics_ch1.28","characteristics_ch1.29","characteristics_ch1.30","characteristics_ch1.31","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","data_processing.1","platform_id","contact_name","contact_email","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","supplementary_file","data_row_count","ab:ch1","ac:ch1","ae:ch1","ai:ch1","bc:ch1","bd:ch1","bk:ch1","breed:ch1","ccd size:ch1","cd:ch1","cj:ch1","disease state:ch1","f-d/bc:ch1","f-d/cd:ch1","f-diam:ch1","fg:ch1","fh:ch1","ID:ch1","l1 (hae):ch1","l10 (afg):ch1","l11(ebk):ch1","l2 (fac):ch1","l3 (dib):ch1","l4 (fae):ch1","l4+l7:ch1","l5 (aeb):ch1","l6(dba):ch1","l7(dbi):ch1","l8 (ebd):ch1","l9 (jcb):ch1","sm:ch1","vd:ch1"
"GSM2748019","CKCS_Saliva_Unaffected_1","GSM2748019","Public on Mar 01 2018","Aug 22 2017","Mar 01 2018","genomic","1","Saliva","Canis lupus familiaris","breed: Cavalier King Charles Spaniel","disease state: control","sm: 0","ccd size: 0","vd: 1","f-diam: 47.67","ab: 16.11","bc: 18.63","cd: 16.48","bd: 30.8","ae: 34.95","ID: 33.55","ac: 30.96","ai: 33.88","cj: 13.06","fh: 30.76","fg: 22.34","bk: 11.58","l1 (hae): 115.18","l2 (fac): 76.77","l3 (dib): 66.48","l4 (fae): 42.38","l5 (aeb): 26.07","l6(dba): 98.26","l7(dbi): 32.57","l8 (ebd): 8.99","l9 (jcb): 37.6","l10 (afg): 49.86","l11(ebk): 44.27","f-d/cd: 2.892597087","f-d/bc: 2.558776167","l4+l7: 74.95","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","CY3 and CY5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","11404-D0001384-WG3318316-DNA-A01","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GenomeStudio 2.0 was used to generate processed data using the final report function.","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","16.11","30.96","34.95","33.88","18.63","30.8","11.58","Cavalier King Charles Spaniel","0","16.48","13.06","control","2.558776167","2.892597087","47.67","22.34","30.76","33.55","115.18","49.86","44.27","76.77","66.48","42.38","74.95","26.07","98.26","32.57","8.99","37.6","0","1"
"GSM2748020","CKCS_Saliva_Unaffected_2","GSM2748020","Public on Mar 01 2018","Aug 22 2017","Mar 01 2018","genomic","1","Saliva","Canis lupus familiaris","breed: Cavalier King Charles Spaniel","disease state: control","sm: 0","ccd size: 0","vd: 1","f-diam: 48.08","ab: 13.85","bc: 17.77","cd: 16.04","bd: 29.5","ae: 33.07","ID: 30.12","ac: 28.83","ai: 30.15","cj: 11.15","fh: 29.55","fg: 0","bk: 12.73","l1 (hae): 118.92","l2 (fac): 79.52","l3 (dib): 71.34","l4 (fae): 46.28","l5 (aeb): 24.66","l6(dba): 102.01","l7(dbi): 31.42","l8 (ebd): 8.39","l9 (jcb): 47.03","l10 (afg): 0","l11(ebk): 55.61","f-d/cd: 2.997506234","f-d/bc: 2.705683737","l4+l7: 77.7","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","CY3 and CY5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","11404-D0002318-WG3318316-DNA-A02","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GenomeStudio 2.0 was used to generate processed data using the final report function.","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","13.85","28.83","33.07","30.15","17.77","29.5","12.73","Cavalier King Charles Spaniel","0","16.04","11.15","control","2.705683737","2.997506234","48.08","0","29.55","30.12","118.92","0","55.61","79.52","71.34","46.28","77.7","24.66","102.01","31.42","8.39","47.03","0","1"
"GSM2748021","CKCS_Saliva_Unaffected_3","GSM2748021","Public on Mar 01 2018","Aug 22 2017","Mar 01 2018","genomic","1","Saliva","Canis lupus familiaris","breed: Cavalier King Charles Spaniel","disease state: control","sm: 0","ccd size: 2","vd: 1","f-diam: 45.73","ab: 15.99","bc: 19.06","cd: 15.76","bd: 29.8","ae: 34.48","ID: 32.7","ac: 31.41","ai: 34.48","cj: 12.57","fh: 25.41","fg: 0","bk: 11.21","l1 (hae): 116.06","l2 (fac): 72.15","l3 (dib): 63.78","l4 (fae): 41.89","l5 (aeb): 27.53","l6(dba): 98.4","l7(dbi): 34.27","l8 (ebd): 6.24","l9 (jcb): 48.49","l10 (afg): 0","l11(ebk): 50.56","f-d/cd: 2.901649746","f-d/bc: 2.399265477","l4+l7: 76.16","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","CY3 and CY5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","11404-D0002448-WG3318316-DNA-A03","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GenomeStudio 2.0 was used to generate processed data using the final report function.","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","15.99","31.41","34.48","34.48","19.06","29.8","11.21","Cavalier King Charles Spaniel","2","15.76","12.57","control","2.399265477","2.901649746","45.73","0","25.41","32.7","116.06","0","50.56","72.15","63.78","41.89","76.16","27.53","98.4","34.27","6.24","48.49","0","1"
"GSM2748022","CKCS_Saliva_Unaffected_4","GSM2748022","Public on Mar 01 2018","Aug 22 2017","Mar 01 2018","genomic","1","Saliva","Canis lupus familiaris","breed: Cavalier King Charles Spaniel","disease state: control","sm: 0","ccd size: 0","vd: 0","f-diam: 45.71","ab: 15.59","bc: 17.74","cd: 15.96","bd: 31.18","ae: 34.44","ID: 32.51","ac: 29.16","ai: 30.43","cj: 12.35","fh: 26.17","fg: 0","bk: 13.69","l1 (hae): 118.37","l2 (fac): 72.05","l3 (dib): 70.44","l4 (fae): 41.18","l5 (aeb): 25.8","l6(dba): 98.6","l7(dbi): 26.82","l8 (ebd): 6.92","l9 (jcb): 46.16","l10 (afg): 0","l11(ebk): 50.98","f-d/cd: 2.864035088","f-d/bc: 2.576662909","l4+l7: 68","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","CY3 and CY5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","11404-D0002453-WG3318316-DNA-A04","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GenomeStudio 2.0 was used to generate processed data using the final report function.","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","15.59","29.16","34.44","30.43","17.74","31.18","13.69","Cavalier King Charles Spaniel","0","15.96","12.35","control","2.576662909","2.864035088","45.71","0","26.17","32.51","118.37","0","50.98","72.05","70.44","41.18","68","25.8","98.6","26.82","6.92","46.16","0","0"
"GSM2748023","CKCS_Saliva_Unaffected_5","GSM2748023","Public on Mar 01 2018","Aug 22 2017","Mar 01 2018","genomic","1","Saliva","Canis lupus familiaris","breed: Cavalier King Charles Spaniel","disease state: control","sm: 0","ccd size: 0","vd: 1","f-diam: 46.51","ab: 15.81","bc: 17.84","cd: 13.92","bd: 29.06","ae: 32.89","ID: 29.81","ac: 29.64","ai: 29.11","cj: 12.28","fh: 27.89","fg: 22.05","bk: 10.7","l1 (hae): 118.73","l2 (fac): 73.63","l3 (dib): 72.2","l4 (fae): 44.19","l5 (aeb): 28.49","l6(dba): 103.21","l7(dbi): 26.28","l8 (ebd): 10.75","l9 (jcb): 50.62","l10 (afg): 50.97","l11(ebk): 52.79","f-d/cd: 3.341235632","f-d/bc: 2.60706278","l4+l7: 70.47","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","CY3 and CY5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","11404-D0002558-WG3318316-DNA-A05","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GenomeStudio 2.0 was used to generate processed data using the final report function.","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","15.81","29.64","32.89","29.11","17.84","29.06","10.7","Cavalier King Charles Spaniel","0","13.92","12.28","control","2.60706278","3.341235632","46.51","22.05","27.89","29.81","118.73","50.97","52.79","73.63","72.2","44.19","70.47","28.49","103.21","26.28","10.75","50.62","0","1"
"GSM2748024","CKCS_Saliva_Unaffected_6","GSM2748024","Public on Mar 01 2018","Aug 22 2017","Mar 01 2018","genomic","1","Saliva","Canis lupus familiaris","breed: Cavalier King Charles Spaniel","disease state: control","sm: 0","ccd size: 0","vd: 1","f-diam: 48.68","ab: 14.47","bc: 18.36","cd: 12.74","bd: 30.45","ae: 35.59","ID: 29.51","ac: 27.65","ai: 22.6","cj: 12.23","fh: 26.19","fg: 24.46","bk: 12.7","l1 (hae): 123.78","l2 (fac): 62.28","l3 (dib): 88.24","l4 (fae): 43.62","l5 (aeb): 23.49","l6(dba): 104.01","l7(dbi): 15.09","l8 (ebd): 3.6","l9 (jcb): 43.2","l10 (afg): 53.39","l11(ebk): 41.19","f-d/cd: 3.821036107","f-d/bc: 2.651416122","l4+l7: 58.71","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","CY3 and CY5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","11404-D0003042-WG3318316-DNA-A06","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GenomeStudio 2.0 was used to generate processed data using the final report function.","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","14.47","27.65","35.59","22.6","18.36","30.45","12.7","Cavalier King Charles Spaniel","0","12.74","12.23","control","2.651416122","3.821036107","48.68","24.46","26.19","29.51","123.78","53.39","41.19","62.28","88.24","43.62","58.71","23.49","104.01","15.09","3.6","43.2","0","1"
"GSM2748025","CKCS_Saliva_Unaffected_7","GSM2748025","Public on Mar 01 2018","Aug 22 2017","Mar 01 2018","genomic","1","Saliva","Canis lupus familiaris","breed: Cavalier King Charles Spaniel","disease state: control","sm: 0","ccd size: 0","vd: 2","f-diam: 45.16","ab: 14.1","bc: 18.7","cd: 14.49","bd: 31.04","ae: 33.95","ID: 31.95","ac: 28.47","ai: 28.28","cj: 11.42","fh: 26.83","fg: 0","bk: 13.32","l1 (hae): 113.73","l2 (fac): 71.85","l3 (dib): 72.79","l4 (fae): 41.27","l5 (aeb): 25.17","l6(dba): 99.44","l7(dbi): 24.91","l8 (ebd): 8.94","l9 (jcb): 47.85","l10 (afg): 0","l11(ebk): 46.09","f-d/cd: 3.11663216","f-d/bc: 2.414973262","l4+l7: 66.18","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","CY3 and CY5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","11404-D0002611-WG3318316-DNA-A07","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GenomeStudio 2.0 was used to generate processed data using the final report function.","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","14.1","28.47","33.95","28.28","18.7","31.04","13.32","Cavalier King Charles Spaniel","0","14.49","11.42","control","2.414973262","3.11663216","45.16","0","26.83","31.95","113.73","0","46.09","71.85","72.79","41.27","66.18","25.17","99.44","24.91","8.94","47.85","0","2"
"GSM2748026","CKCS_Saliva_Unaffected_8","GSM2748026","Public on Mar 01 2018","Aug 22 2017","Mar 01 2018","genomic","1","Saliva","Canis lupus familiaris","breed: Cavalier King Charles Spaniel","disease state: control","sm: 0","ccd size: 0","vd: 1","f-diam: 47.52","ab: 16.61","bc: 19.65","cd: 13.02","bd: 31.06","ae: 35.38","ID: 32.52","ac: 29.8","ai: 29.95","cj: 12.32","fh: 25.19","fg: 23.89","bk: 12.3","l1 (hae): 120.24","l2 (fac): 62.05","l3 (dib): 72.62","l4 (fae): 41.48","l5 (aeb): 27.3","l6(dba): 94.93","l7(dbi): 22.11","l8 (ebd): 1.44","l9 (jcb): 33.51","l10 (afg): 59.43","l11(ebk): 42.87","f-d/cd: 3.649769585","f-d/bc: 2.418320611","l4+l7: 63.59","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","CY3 and CY5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","11404-D0002693-WG3318316-DNA-A08","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GenomeStudio 2.0 was used to generate processed data using the final report function.","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","16.61","29.8","35.38","29.95","19.65","31.06","12.3","Cavalier King Charles Spaniel","0","13.02","12.32","control","2.418320611","3.649769585","47.52","23.89","25.19","32.52","120.24","59.43","42.87","62.05","72.62","41.48","63.59","27.3","94.93","22.11","1.44","33.51","0","1"
"GSM2748027","CKCS_Saliva_Unaffected_9","GSM2748027","Public on Mar 01 2018","Aug 22 2017","Mar 01 2018","genomic","1","Saliva","Canis lupus familiaris","breed: Cavalier King Charles Spaniel","disease state: control","sm: 0","ccd size: 0","vd: 1","f-diam: 47.75","ab: 17.51","bc: 18.18","cd: 14.51","bd: 28.75","ae: 34.56","ID: 30","ac: 31.43","ai: 32.77","cj: 12.3","fh: 29.09","fg: 23.94","bk: 9.9","l1 (hae): 126.12","l2 (fac): 69.28","l3 (dib): 69.86","l4 (fae): 42.93","l5 (aeb): 30.1","l6(dba): 99.93","l7(dbi): 30.02","l8 (ebd): 5.47","l9 (jcb): 40.12","l10 (afg): 43.58","l11(ebk): 48.88","f-d/cd: 3.290833908","f-d/bc: 2.626512651","l4+l7: 72.95","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","CY3 and CY5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","11404-D0002730-WG3318316-DNA-A09","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GenomeStudio 2.0 was used to generate processed data using the final report function.","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","17.51","31.43","34.56","32.77","18.18","28.75","9.9","Cavalier King Charles Spaniel","0","14.51","12.3","control","2.626512651","3.290833908","47.75","23.94","29.09","30","126.12","43.58","48.88","69.28","69.86","42.93","72.95","30.1","99.93","30.02","5.47","40.12","0","1"
"GSM2748028","CKCS_Saliva_Unaffected_10","GSM2748028","Public on Mar 01 2018","Aug 22 2017","Mar 01 2018","genomic","1","Saliva","Canis lupus familiaris","breed: Cavalier King Charles Spaniel","disease state: control","sm: 0","ccd size: 0","vd: 2","f-diam: 45.3","ab: 12.79","bc: 18.71","cd: 14.13","bd: 29.91","ae: 34.18","ID: 30.99","ac: 28.24","ai: 27.73","cj: 11.82","fh: 25.52","fg: 0","bk: 12.07","l1 (hae): 119.84","l2 (fac): 69.19","l3 (dib): 73.55","l4 (fae): 41.32","l5 (aeb): 22.05","l6(dba): 101.61","l7(dbi): 28.01","l8 (ebd): 4.96","l9 (jcb): 35.03","l10 (afg): 0","l11(ebk): 43.55","f-d/cd: 3.205944798","f-d/bc: 2.421165152","l4+l7: 69.33","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","CY3 and CY5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","11404-D0002743-WG3318316-DNA-A10","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GenomeStudio 2.0 was used to generate processed data using the final report function.","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","12.79","28.24","34.18","27.73","18.71","29.91","12.07","Cavalier King Charles Spaniel","0","14.13","11.82","control","2.421165152","3.205944798","45.3","0","25.52","30.99","119.84","0","43.55","69.19","73.55","41.32","69.33","22.05","101.61","28.01","4.96","35.03","0","2"
