"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","platform_id","contact_name","contact_email","contact_laboratory","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","supplementary_file","supplementary_file.1","data_row_count","sub-type:ch1"
"GSM4275077","DING_03521","GSM4275077","Public on Mar 31 2020","Jan 16 2020","Apr 01 2020","genomic","1","blood","Canis lupus","sub-type: Dingo","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols. DNA was extracted from skin using the DNeasy Blood And Tissue kit (Qiagen) following recommended protocol.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9612","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","genomic DNA extracted from blood was genotyped using the CanineHD Whole-Genome Genotyping BeadChip (Illumina)","Image data was analyzed using GenomeStudio 2.0 with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4275nnn/GSM4275077/suppl/GSM4275077_202062530016_R04C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4275nnn/GSM4275077/suppl/GSM4275077_202062530016_R04C02_Red.idat.gz","173662","Dingo"
"GSM4275078","NGHW_34326","GSM4275078","Public on Mar 31 2020","Jan 16 2020","Apr 01 2020","genomic","1","blood","Canis lupus","sub-type: Highland Wild Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols. DNA was extracted from skin using the DNeasy Blood And Tissue kit (Qiagen) following recommended protocol.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9612","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","genomic DNA extracted from blood was genotyped using the CanineHD Whole-Genome Genotyping BeadChip (Illumina)","Image data was analyzed using GenomeStudio 2.0 with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4275nnn/GSM4275078/suppl/GSM4275078_202062530001_R01C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4275nnn/GSM4275078/suppl/GSM4275078_202062530001_R01C01_Red.idat.gz","173662","Highland Wild Dog"
"GSM4275079","NGHW_34327","GSM4275079","Public on Mar 31 2020","Jan 16 2020","Apr 01 2020","genomic","1","blood","Canis lupus","sub-type: Highland Wild Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols. DNA was extracted from skin using the DNeasy Blood And Tissue kit (Qiagen) following recommended protocol.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9612","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","genomic DNA extracted from blood was genotyped using the CanineHD Whole-Genome Genotyping BeadChip (Illumina)","Image data was analyzed using GenomeStudio 2.0 with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4275nnn/GSM4275079/suppl/GSM4275079_202062530001_R02C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4275nnn/GSM4275079/suppl/GSM4275079_202062530001_R02C01_Red.idat.gz","173662","Highland Wild Dog"
"GSM4275080","NGHW_34328","GSM4275080","Public on Mar 31 2020","Jan 16 2020","Apr 01 2020","genomic","1","skin","Canis lupus","sub-type: Highland Wild Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols. DNA was extracted from skin using the DNeasy Blood And Tissue kit (Qiagen) following recommended protocol.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9612","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","genomic DNA extracted from skin was genotyped using the CanineHD Whole-Genome Genotyping BeadChip (Illumina)","Image data was analyzed using GenomeStudio 2.0 with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4275nnn/GSM4275080/suppl/GSM4275080_202062530001_R03C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4275nnn/GSM4275080/suppl/GSM4275080_202062530001_R03C01_Red.idat.gz","173662","Highland Wild Dog"
"GSM4275081","NGSD_31969","GSM4275081","Public on Mar 31 2020","Jan 16 2020","Apr 01 2020","genomic","1","blood","Canis lupus","sub-type: New Guinea Singing Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols. DNA was extracted from skin using the DNeasy Blood And Tissue kit (Qiagen) following recommended protocol.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9612","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","genomic DNA extracted from blood was genotyped using the CanineHD Whole-Genome Genotyping BeadChip (Illumina)","Image data was analyzed using GenomeStudio 2.0 with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4275nnn/GSM4275081/suppl/GSM4275081_203286220002_R01C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4275nnn/GSM4275081/suppl/GSM4275081_203286220002_R01C01_Red.idat.gz","173662","New Guinea Singing Dog"
"GSM4275082","NGSD_33254","GSM4275082","Public on Mar 31 2020","Jan 16 2020","Apr 01 2020","genomic","1","blood","Canis lupus","sub-type: New Guinea Singing Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols. DNA was extracted from skin using the DNeasy Blood And Tissue kit (Qiagen) following recommended protocol.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9612","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","genomic DNA extracted from blood was genotyped using the CanineHD Whole-Genome Genotyping BeadChip (Illumina)","Image data was analyzed using GenomeStudio 2.0 with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4275nnn/GSM4275082/suppl/GSM4275082_203286220002_R02C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4275nnn/GSM4275082/suppl/GSM4275082_203286220002_R02C01_Red.idat.gz","173662","New Guinea Singing Dog"
"GSM4275083","NGSD_34692","GSM4275083","Public on Mar 31 2020","Jan 16 2020","Apr 01 2020","genomic","1","blood","Canis lupus","sub-type: New Guinea Singing Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols. DNA was extracted from skin using the DNeasy Blood And Tissue kit (Qiagen) following recommended protocol.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9612","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","genomic DNA extracted from blood was genotyped using the CanineHD Whole-Genome Genotyping BeadChip (Illumina)","Image data was analyzed using GenomeStudio 2.0 with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4275nnn/GSM4275083/suppl/GSM4275083_203286220002_R03C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4275nnn/GSM4275083/suppl/GSM4275083_203286220002_R03C01_Red.idat.gz","173662","New Guinea Singing Dog"
"GSM4275084","NGSD_34695","GSM4275084","Public on Mar 31 2020","Jan 16 2020","Apr 01 2020","genomic","1","blood","Canis lupus","sub-type: New Guinea Singing Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols. DNA was extracted from skin using the DNeasy Blood And Tissue kit (Qiagen) following recommended protocol.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9612","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","genomic DNA extracted from blood was genotyped using the CanineHD Whole-Genome Genotyping BeadChip (Illumina)","Image data was analyzed using GenomeStudio 2.0 with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4275nnn/GSM4275084/suppl/GSM4275084_203286220002_R04C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4275nnn/GSM4275084/suppl/GSM4275084_203286220002_R04C01_Red.idat.gz","173662","New Guinea Singing Dog"
"GSM4275085","NGSD_34696","GSM4275085","Public on Mar 31 2020","Jan 16 2020","Apr 01 2020","genomic","1","blood","Canis lupus","sub-type: New Guinea Singing Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols. DNA was extracted from skin using the DNeasy Blood And Tissue kit (Qiagen) following recommended protocol.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9612","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","genomic DNA extracted from blood was genotyped using the CanineHD Whole-Genome Genotyping BeadChip (Illumina)","Image data was analyzed using GenomeStudio 2.0 with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4275nnn/GSM4275085/suppl/GSM4275085_203286220002_R05C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4275nnn/GSM4275085/suppl/GSM4275085_203286220002_R05C01_Red.idat.gz","173662","New Guinea Singing Dog"
"GSM4275086","NGSD_34697","GSM4275086","Public on Mar 31 2020","Jan 16 2020","Apr 01 2020","genomic","1","blood","Canis lupus","sub-type: New Guinea Singing Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols. DNA was extracted from skin using the DNeasy Blood And Tissue kit (Qiagen) following recommended protocol.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9612","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","genomic DNA extracted from blood was genotyped using the CanineHD Whole-Genome Genotyping BeadChip (Illumina)","Image data was analyzed using GenomeStudio 2.0 with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4275nnn/GSM4275086/suppl/GSM4275086_203286220002_R06C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4275nnn/GSM4275086/suppl/GSM4275086_203286220002_R06C01_Red.idat.gz","173662","New Guinea Singing Dog"
