"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","platform_id","contact_name","contact_email","contact_phone","contact_laboratory","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","supplementary_file","supplementary_file.1","data_row_count","breed:ch1","tissue:ch1"
"GSM4432297","ALBD: Labradoodle8","GSM4432297","Public on Jul 17 2020","Mar 24 2020","Jul 17 2020","genomic","1","whole blood","Canis lupus familiaris","breed: Australian Labradoodle","tissue: whole blood","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","none","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Alexander,Christian,Harris","alex.harris@nih.gov","301-402-2016","Ostrander","National Human Genome Research Institute","National Institutes of Health","50 South Drive","Bethesda","Maryland","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4432nnn/GSM4432297/suppl/GSM4432297_201432110166_R02C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4432nnn/GSM4432297/suppl/GSM4432297_201432110166_R02C02_Red.idat.gz","0","Australian Labradoodle","whole blood"
"GSM4432298","ALBD: Labradoodle6","GSM4432298","Public on Jul 17 2020","Mar 24 2020","Jul 17 2020","genomic","1","whole blood","Canis lupus familiaris","breed: Australian Labradoodle","tissue: whole blood","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","none","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Alexander,Christian,Harris","alex.harris@nih.gov","301-402-2016","Ostrander","National Human Genome Research Institute","National Institutes of Health","50 South Drive","Bethesda","Maryland","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4432nnn/GSM4432298/suppl/GSM4432298_201432110206_R01C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4432nnn/GSM4432298/suppl/GSM4432298_201432110206_R01C01_Red.idat.gz","0","Australian Labradoodle","whole blood"
"GSM4432299","ALBD: Labradoodle17","GSM4432299","Public on Jul 17 2020","Mar 24 2020","Jul 17 2020","genomic","1","whole blood","Canis lupus familiaris","breed: Australian Labradoodle","tissue: whole blood","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","none","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Alexander,Christian,Harris","alex.harris@nih.gov","301-402-2016","Ostrander","National Human Genome Research Institute","National Institutes of Health","50 South Drive","Bethesda","Maryland","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4432nnn/GSM4432299/suppl/GSM4432299_201432110206_R02C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4432nnn/GSM4432299/suppl/GSM4432299_201432110206_R02C01_Red.idat.gz","0","Australian Labradoodle","whole blood"
"GSM4432300","ALBD: Labradoodle2","GSM4432300","Public on Jul 17 2020","Mar 24 2020","Jul 17 2020","genomic","1","whole blood","Canis lupus familiaris","breed: Australian Labradoodle","tissue: whole blood","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","none","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Alexander,Christian,Harris","alex.harris@nih.gov","301-402-2016","Ostrander","National Human Genome Research Institute","National Institutes of Health","50 South Drive","Bethesda","Maryland","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4432nnn/GSM4432300/suppl/GSM4432300_201432110206_R03C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4432nnn/GSM4432300/suppl/GSM4432300_201432110206_R03C01_Red.idat.gz","0","Australian Labradoodle","whole blood"
"GSM4432301","ALBD: Labradoodle4","GSM4432301","Public on Jul 17 2020","Mar 24 2020","Jul 17 2020","genomic","1","whole blood","Canis lupus familiaris","breed: Australian Labradoodle","tissue: whole blood","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","none","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Alexander,Christian,Harris","alex.harris@nih.gov","301-402-2016","Ostrander","National Human Genome Research Institute","National Institutes of Health","50 South Drive","Bethesda","Maryland","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4432nnn/GSM4432301/suppl/GSM4432301_201432110206_R04C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4432nnn/GSM4432301/suppl/GSM4432301_201432110206_R04C01_Red.idat.gz","0","Australian Labradoodle","whole blood"
"GSM4432302","ALBD: Labradoodle14","GSM4432302","Public on Jul 17 2020","Mar 24 2020","Jul 17 2020","genomic","1","whole blood","Canis lupus familiaris","breed: Australian Labradoodle","tissue: whole blood","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","none","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Alexander,Christian,Harris","alex.harris@nih.gov","301-402-2016","Ostrander","National Human Genome Research Institute","National Institutes of Health","50 South Drive","Bethesda","Maryland","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4432nnn/GSM4432302/suppl/GSM4432302_202899110020_R05C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4432nnn/GSM4432302/suppl/GSM4432302_202899110020_R05C02_Red.idat.gz","0","Australian Labradoodle","whole blood"
"GSM4432303","ALBD: Labradoodle21","GSM4432303","Public on Jul 17 2020","Mar 24 2020","Jul 17 2020","genomic","1","whole blood","Canis lupus familiaris","breed: Australian Labradoodle","tissue: whole blood","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","none","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Alexander,Christian,Harris","alex.harris@nih.gov","301-402-2016","Ostrander","National Human Genome Research Institute","National Institutes of Health","50 South Drive","Bethesda","Maryland","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4432nnn/GSM4432303/suppl/GSM4432303_202915900011_R04C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4432nnn/GSM4432303/suppl/GSM4432303_202915900011_R04C02_Red.idat.gz","0","Australian Labradoodle","whole blood"
"GSM4432304","ALBD: Labradoodle19","GSM4432304","Public on Jul 17 2020","Mar 24 2020","Jul 17 2020","genomic","1","whole blood","Canis lupus familiaris","breed: Australian Labradoodle","tissue: whole blood","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","none","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Alexander,Christian,Harris","alex.harris@nih.gov","301-402-2016","Ostrander","National Human Genome Research Institute","National Institutes of Health","50 South Drive","Bethesda","Maryland","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4432nnn/GSM4432304/suppl/GSM4432304_202915900011_R02C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4432nnn/GSM4432304/suppl/GSM4432304_202915900011_R02C02_Red.idat.gz","0","Australian Labradoodle","whole blood"
"GSM4432305","ALBD: Labradoodle15","GSM4432305","Public on Jul 17 2020","Mar 24 2020","Jul 17 2020","genomic","1","whole blood","Canis lupus familiaris","breed: Australian Labradoodle","tissue: whole blood","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","none","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Alexander,Christian,Harris","alex.harris@nih.gov","301-402-2016","Ostrander","National Human Genome Research Institute","National Institutes of Health","50 South Drive","Bethesda","Maryland","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4432nnn/GSM4432305/suppl/GSM4432305_202915900011_R01C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4432nnn/GSM4432305/suppl/GSM4432305_202915900011_R01C02_Red.idat.gz","0","Australian Labradoodle","whole blood"
"GSM4432306","ALBD: Labradoodle18","GSM4432306","Public on Jul 17 2020","Mar 24 2020","Jul 17 2020","genomic","1","whole blood","Canis lupus familiaris","breed: Australian Labradoodle","tissue: whole blood","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","none","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Alexander,Christian,Harris","alex.harris@nih.gov","301-402-2016","Ostrander","National Human Genome Research Institute","National Institutes of Health","50 South Drive","Bethesda","Maryland","20892","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4432nnn/GSM4432306/suppl/GSM4432306_202899110020_R06C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4432nnn/GSM4432306/suppl/GSM4432306_202899110020_R06C02_Red.idat.gz","0","Australian Labradoodle","whole blood"
