"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","data_processing","platform_id","contact_name","contact_email","contact_laboratory","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","supplementary_file","supplementary_file.1","data_row_count","breed:ch1","origin:ch1"
"GSM5799285","33642","GSM5799285","Public on Jan 15 2022","Jan 10 2022","Jan 16 2022","genomic","1","blood","Canis lupus familiaris","origin: Aysen region, Chile","breed: Patagonian Ovejero Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799285/suppl/GSM5799285_201303420003_R01C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799285/suppl/GSM5799285_201303420003_R01C02_Red.idat.gz","0","Patagonian Ovejero Dog","Aysen region, Chile"
"GSM5799286","33635","GSM5799286","Public on Jan 15 2022","Jan 10 2022","Jan 16 2022","genomic","1","blood","Canis lupus familiaris","origin: Aysen region, Chile","breed: Patagonian Ovejero Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799286/suppl/GSM5799286_201303420003_R02C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799286/suppl/GSM5799286_201303420003_R02C01_Red.idat.gz","0","Patagonian Ovejero Dog","Aysen region, Chile"
"GSM5799287","33644","GSM5799287","Public on Jan 15 2022","Jan 10 2022","Jan 16 2022","genomic","1","blood","Canis lupus familiaris","origin: Aysen region, Chile","breed: Patagonian Ovejero Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799287/suppl/GSM5799287_201303420003_R02C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799287/suppl/GSM5799287_201303420003_R02C02_Red.idat.gz","0","Patagonian Ovejero Dog","Aysen region, Chile"
"GSM5799288","33637","GSM5799288","Public on Jan 15 2022","Jan 10 2022","Jan 16 2022","genomic","1","blood","Canis lupus familiaris","origin: Aysen region, Chile","breed: Patagonian Ovejero Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799288/suppl/GSM5799288_201303420003_R03C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799288/suppl/GSM5799288_201303420003_R03C01_Red.idat.gz","0","Patagonian Ovejero Dog","Aysen region, Chile"
"GSM5799289","33647","GSM5799289","Public on Jan 15 2022","Jan 10 2022","Jan 16 2022","genomic","1","blood","Canis lupus familiaris","origin: Aysen region, Chile","breed: Patagonian Ovejero Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799289/suppl/GSM5799289_201303420003_R03C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799289/suppl/GSM5799289_201303420003_R03C02_Red.idat.gz","0","Patagonian Ovejero Dog","Aysen region, Chile"
"GSM5799290","33639","GSM5799290","Public on Jan 15 2022","Jan 10 2022","Jan 16 2022","genomic","1","blood","Canis lupus familiaris","origin: Aysen region, Chile","breed: Patagonian Ovejero Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799290/suppl/GSM5799290_201303420003_R04C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799290/suppl/GSM5799290_201303420003_R04C01_Red.idat.gz","0","Patagonian Ovejero Dog","Aysen region, Chile"
"GSM5799291","33649","GSM5799291","Public on Jan 15 2022","Jan 10 2022","Jan 16 2022","genomic","1","blood","Canis lupus familiaris","origin: Aysen region, Chile","breed: Patagonian Ovejero Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799291/suppl/GSM5799291_201303420003_R04C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799291/suppl/GSM5799291_201303420003_R04C02_Red.idat.gz","0","Patagonian Ovejero Dog","Aysen region, Chile"
"GSM5799292","33640","GSM5799292","Public on Jan 15 2022","Jan 10 2022","Jan 16 2022","genomic","1","blood","Canis lupus familiaris","origin: Aysen region, Chile","breed: Patagonian Ovejero Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799292/suppl/GSM5799292_201303420003_R05C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799292/suppl/GSM5799292_201303420003_R05C01_Red.idat.gz","0","Patagonian Ovejero Dog","Aysen region, Chile"
"GSM5799293","33650","GSM5799293","Public on Jan 15 2022","Jan 10 2022","Jan 16 2022","genomic","1","blood","Canis lupus familiaris","origin: Aysen region, Chile","breed: Patagonian Ovejero Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799293/suppl/GSM5799293_201303420003_R05C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799293/suppl/GSM5799293_201303420003_R05C02_Red.idat.gz","0","Patagonian Ovejero Dog","Aysen region, Chile"
"GSM5799294","33641","GSM5799294","Public on Jan 15 2022","Jan 10 2022","Jan 16 2022","genomic","1","blood","Canis lupus familiaris","origin: Aysen region, Chile","breed: Patagonian Ovejero Dog","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799294/suppl/GSM5799294_201303420003_R06C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5799nnn/GSM5799294/suppl/GSM5799294_201303420003_R06C01_Red.idat.gz","0","Patagonian Ovejero Dog","Aysen region, Chile"
