"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","characteristics_ch1.3","characteristics_ch1.4","characteristics_ch1.5","characteristics_ch1.6","characteristics_ch1.7","characteristics_ch1.8","characteristics_ch1.9","characteristics_ch1.10","characteristics_ch1.11","characteristics_ch1.12","characteristics_ch1.13","characteristics_ch1.14","characteristics_ch1.15","characteristics_ch1.16","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","description.1","data_processing","platform_id","contact_name","contact_email","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","supplementary_file","data_row_count","age:ch1","angle 1 (abc):ch1","angle 2(caf):ch1","angle 3 (dla):ch1","angle 4 (ahg):ch1","angle 5 (afh):ch1","breed:ch1","diameter f:ch1","line ab:ch1","line ae:ch1","line ag:ch1","line bc:ch1","line bd:ch1","line be:ch1","line cd:ch1","line fg:ch1","Sex:ch1"
"GSM1261421","D2123_Saliva_Affected_rep1","GSM1261421","Public on May 19 2014","Nov 08 2013","May 19 2014","genomic","1","saliva (mouth swap)_affected","Canis lupus familiaris","breed: Griffon Bruxellois","Sex: Female","age: 2.7","diameter f: 40.71","line ab: 14.65","angle 1 (abc): 104.87","line bc: 12.65","line cd: 13.72","line bd: 26.43","line be: 27.28","line ae: 31.46","angle 2(caf): 64.43","angle 3 (dla): 83.97","line ag: 18.22","angle 4 (ahg): 141.53","angle 5 (afh): 44.75","line fg: 20.89","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","Cy3 and Cy5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","Genotyping batch1 regular","raw data file: Batch1_RAW.txt","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","2.7","104.87","64.43","83.97","141.53","44.75","Griffon Bruxellois","40.71","14.65","31.46","18.22","12.65","26.43","27.28","13.72","20.89","Female"
"GSM1261422","D2124_Saliva_Affected_rep1","GSM1261422","Public on May 19 2014","Nov 08 2013","May 19 2014","genomic","1","saliva (mouth swap)_affected","Canis lupus familiaris","breed: Griffon Bruxellois","Sex: Male","age: 5.4","diameter f: 44.92","line ab: 12.9","angle 1 (abc): 119.63","line bc: 12.68","line cd: 14.04","line bd: 25.38","line be: 26.23","line ae: 31.23","angle 2(caf): 71.82","angle 3 (dla): NA","line ag: NA","angle 4 (ahg): NA","angle 5 (afh): 45.46","line fg: 23.9","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","Cy3 and Cy5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","Genotyping batch1 regular","raw data file: Batch1_RAW.txt","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","5.4","119.63","71.82","NA","NA","45.46","Griffon Bruxellois","44.92","12.9","31.23","NA","12.68","25.38","26.23","14.04","23.9","Male"
"GSM1261423","D2129_Saliva_Unaffected_rep1","GSM1261423","Public on May 19 2014","Nov 08 2013","May 19 2014","genomic","1","saliva (mouth swap)_unaffected (control)","Canis lupus familiaris","breed: Griffon Bruxellois","Sex: Male","age: 10.4","diameter f: 41.39","line ab: 15.27","angle 1 (abc): 119.46","line bc: 13.94","line cd: 14.55","line bd: 26.52","line be: 27.53","line ae: 31.52","angle 2(caf): 71.08","angle 3 (dla): 75.04","line ag: 24.52","angle 4 (ahg): 143.3","angle 5 (afh): 45.54","line fg: 20.66","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","Cy3 and Cy5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","Genotyping batch1 regular","raw data file: Batch1_RAW.txt","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","10.4","119.46","71.08","75.04","143.3","45.54","Griffon Bruxellois","41.39","15.27","31.52","24.52","13.94","26.52","27.53","14.55","20.66","Male"
"GSM1261424","D2130_Saliva_Unaffected_rep1","GSM1261424","Public on May 19 2014","Nov 08 2013","May 19 2014","genomic","1","saliva (mouth swap)_unaffected (control)","Canis lupus familiaris","breed: Griffon Bruxellois","Sex: Male","age: 5.5","diameter f: 42.79","line ab: 16.3","angle 1 (abc): 124.42","line bc: 14.44","line cd: 16.59","line bd: 28","line be: 28.21","line ae: 34.04","angle 2(caf): 65.96","angle 3 (dla): 76.62","line ag: 25.11","angle 4 (ahg): 143.66","angle 5 (afh): 41.68","line fg: 23.19","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","Cy3 and Cy5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","Genotyping batch1 regular","raw data file: Batch1_RAW.txt","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","5.5","124.42","65.96","76.62","143.66","41.68","Griffon Bruxellois","42.79","16.3","34.04","25.11","14.44","28","28.21","16.59","23.19","Male"
"GSM1261425","D2132_Saliva_Unaffected_rep1","GSM1261425","Public on May 19 2014","Nov 08 2013","May 19 2014","genomic","1","saliva (mouth swap)_unaffected (control)","Canis lupus familiaris","breed: Griffon Bruxellois","Sex: Female","age: 4.2","diameter f: 40.59","line ab: 17.85","angle 1 (abc): 108.21","line bc: 12.91","line cd: 13.12","line bd: 25.06","line be: 25.13","line ae: 31.11","angle 2(caf): 63.45","angle 3 (dla): 81.48","line ag: 22.13","angle 4 (ahg): 135.25","angle 5 (afh): 44.88","line fg: 21.86","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","Cy3 and Cy5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","Genotyping batch1 regular","raw data file: Batch1_RAW.txt","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","4.2","108.21","63.45","81.48","135.25","44.88","Griffon Bruxellois","40.59","17.85","31.11","22.13","12.91","25.06","25.13","13.12","21.86","Female"
"GSM1261426","D2136_Saliva_Unaffected_rep1","GSM1261426","Public on May 19 2014","Nov 08 2013","May 19 2014","genomic","1","saliva (mouth swap)_unaffected (control)","Canis lupus familiaris","breed: Griffon Bruxellois","Sex: Female","age: 2.4","diameter f: 39.98","line ab: 17.41","angle 1 (abc): 113.51","line bc: 10.27","line cd: 14.45","line bd: 24.07","line be: 26.7","line ae: 30.76","angle 2(caf): 76.52","angle 3 (dla): 84.77","line ag: 22.8","angle 4 (ahg): 135.43","angle 5 (afh): 47.91","line fg: 18.54","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","Cy3 and Cy5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","Genotyping batch1 regular","raw data file: Batch1_RAW.txt","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","2.4","113.51","76.52","84.77","135.43","47.91","Griffon Bruxellois","39.98","17.41","30.76","22.8","10.27","24.07","26.7","14.45","18.54","Female"
"GSM1261427","D2138_Saliva_Affected_rep1","GSM1261427","Public on May 19 2014","Nov 08 2013","May 19 2014","genomic","1","saliva (mouth swap)_affected","Canis lupus familiaris","breed: Griffon Bruxellois","Sex: Male","age: 2.5","diameter f: 42.24","line ab: 17.44","angle 1 (abc): 113.44","line bc: 11.2","line cd: 12.76","line bd: 23.82","line be: 25.05","line ae: 32.35","angle 2(caf): 65.25","angle 3 (dla): 86.72","line ag: NA","angle 4 (ahg): NA","angle 5 (afh): 48.2","line fg: 21.19","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","Cy3 and Cy5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","Genotyping batch1 regular","raw data file: Batch1_RAW.txt","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","2.5","113.44","65.25","86.72","NA","48.2","Griffon Bruxellois","42.24","17.44","32.35","NA","11.2","23.82","25.05","12.76","21.19","Male"
"GSM1261428","D2141_Saliva_Unaffected_rep1","GSM1261428","Public on May 19 2014","Nov 08 2013","May 19 2014","genomic","1","saliva (mouth swap)_unaffected (control)","Canis lupus familiaris","breed: Griffon Bruxellois","Sex: Female","age: 12.6","diameter f: 41.25","line ab: 17.07","angle 1 (abc): 120.73","line bc: 13.14","line cd: 15.91","line bd: 25.87","line be: 25.94","line ae: 30.59","angle 2(caf): 78.32","angle 3 (dla): 64.77","line ag: 24.82","angle 4 (ahg): 142.64","angle 5 (afh): 46.08","line fg: 19.44","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","Cy3 and Cy5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","Genotyping batch1 regular","raw data file: Batch1_RAW.txt","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","12.6","120.73","78.32","64.77","142.64","46.08","Griffon Bruxellois","41.25","17.07","30.59","24.82","13.14","25.87","25.94","15.91","19.44","Female"
"GSM1261429","D2151_Saliva_Affected_rep1","GSM1261429","Public on May 19 2014","Nov 08 2013","May 19 2014","genomic","1","saliva (mouth swap)_affected","Canis lupus familiaris","breed: Griffon Bruxellois","Sex: Female","age: 1.7","diameter f: 41.72","line ab: 18.23","angle 1 (abc): 120.62","line bc: 11.89","line cd: 13.19","line bd: 24.32","line be: 24.99","line ae: 33.23","angle 2(caf): 62.52","angle 3 (dla): 87.66","line ag: 27.59","angle 4 (ahg): 145.91","angle 5 (afh): 48.62","line fg: 26.53","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","Cy3 and Cy5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","Genotyping batch1 regular","raw data file: Batch1_RAW.txt","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","1.7","120.62","62.52","87.66","145.91","48.62","Griffon Bruxellois","41.72","18.23","33.23","27.59","11.89","24.32","24.99","13.19","26.53","Female"
"GSM1261430","D2152_Saliva_Affected_rep1","GSM1261430","Public on May 19 2014","Nov 08 2013","May 19 2014","genomic","1","saliva (mouth swap)_affected","Canis lupus familiaris","breed: Griffon Bruxellois","Sex: Female","age: 2.9","diameter f: 42.15","line ab: 17.07","angle 1 (abc): 112.95","line bc: 12.79","line cd: 15.3","line bd: 26.46","line be: 26.16","line ae: 31.2","angle 2(caf): 72.81","angle 3 (dla): 78.68","line ag: 26.82","angle 4 (ahg): 154.33","angle 5 (afh): 47.39","line fg: 22.45","genomic DNA","DNA was extracted from blood or saliva using the ORAGENE Animal kit (DNAgenotek)","Cy3 and Cy5","200ng of genomic DNA was whole-genome amplified in an overnight reaction at 37¡C using amplification master mix (WG-MA1, WG-MA2) and primer/neutralization mix (WG-MSM). After incubation the amplified DNA was fragmented with fragmentation mix (WG-FMS), precipitated with isopropanol and precipitation mix (PA1) and resuspended in hybridization buffer (RA1).","9615","RA1 resuspended DNA was loaded onto BeadChips arrays. After overnight incubation at 48¡C, single-base extension and allele-specific staining was performed on a Teflow chamber rack system (Tecan, Maennedorf, Switzerland).","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a iScan Autoloader 2X (Illumina).","Genotyping batch1 regular","raw data file: Batch1_RAW.txt","Genomic DNA extracted from saliva was genotyped using Infinium CanineHD Genotyping BeadChips (Illumina).","GPL17481","Philippe,,Lemay","lemayph@gmail.com","Université de Montréal","3175 Chemin de la Côte-Sainte-Catherine","Montreal","Quebec","H3T 1C5","Canada","NONE","173662","2.9","112.95","72.81","78.68","154.33","47.39","Griffon Bruxellois","42.15","17.07","31.2","26.82","12.79","26.46","26.16","15.3","22.45","Female"
