"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","data_processing.1","platform_id","contact_name","contact_email","contact_department","contact_institute","contact_address","contact_city","contact_zip/postal_code","contact_country","supplementary_file","data_row_count","breed:ch1","gender:ch1","tissue:ch1"
"GSM1329985","BGL004_Beagle","GSM1329985","Public on Mar 28 2014","Feb 18 2014","Mar 28 2014","genomic","1","blood","Canis lupus familiaris","breed: Beagle","gender: Male","tissue: blood","genomic DNA","genomic DNA was extracted from blood using standard procedures","biotin","standard Illumina protocols were used and labelling was performed by Illumina Inc. USA","9615","standard Illumina protocols were used and hybridization was performed by Illumina Inc. USA","standard Illumina protocols were used and scanning was performed by Illumina Inc. USA","BGL004","Illumina Inc. USA performed the intial data processing (http://res.illumina.com/documents/products/datasheets/datasheet_caninehd.pdf). The standard cluster file that was used as reference when Log R ratios and B allele frequencies were calculated was created with the samples herein by Illumina Inc. USA. Further processing was perfromed by the authors using GenomeStudio V2010.3, Genotyping Module 1.8.4 where the Log R Ratio was corrected for GC content and low quality SNPs and intensity-only SNPs were removed. Remaining number of SNPs used in the CNV calling were 172115.","ID REF, LRR_GCC are Log R ratio values after GC-correction and this was used in the subsequent CNV discovery, Score, Theta, R, Gtype, B Allele Freq, Log R Ratio","GPL17481","Anna-Maja,,Molin","Anna-Maja.Molin@slu.se","Department of Animal Breeding and Genetics","Swedish University of Agricultural Sciences","Gerda Nilssons väg 2","Uppsala","750 07","Sweden","NONE","172115","Beagle","Male","blood"
"GSM1329986","BGL005_Beagle","GSM1329986","Public on Mar 28 2014","Feb 18 2014","Mar 28 2014","genomic","1","blood","Canis lupus familiaris","breed: Beagle","gender: Female","tissue: blood","genomic DNA","genomic DNA was extracted from blood using standard procedures","biotin","standard Illumina protocols were used and labelling was performed by Illumina Inc. USA","9615","standard Illumina protocols were used and hybridization was performed by Illumina Inc. USA","standard Illumina protocols were used and scanning was performed by Illumina Inc. USA","BGL005","Illumina Inc. USA performed the intial data processing (http://res.illumina.com/documents/products/datasheets/datasheet_caninehd.pdf). The standard cluster file that was used as reference when Log R ratios and B allele frequencies were calculated was created with the samples herein by Illumina Inc. USA. Further processing was perfromed by the authors using GenomeStudio V2010.3, Genotyping Module 1.8.4 where the Log R Ratio was corrected for GC content and low quality SNPs and intensity-only SNPs were removed. Remaining number of SNPs used in the CNV calling were 172115.","ID REF, LRR_GCC are Log R ratio values after GC-correction and this was used in the subsequent CNV discovery, Score, Theta, R, Gtype, B Allele Freq, Log R Ratio","GPL17481","Anna-Maja,,Molin","Anna-Maja.Molin@slu.se","Department of Animal Breeding and Genetics","Swedish University of Agricultural Sciences","Gerda Nilssons väg 2","Uppsala","750 07","Sweden","NONE","172115","Beagle","Female","blood"
"GSM1329987","BGL014_Beagle","GSM1329987","Public on Mar 28 2014","Feb 18 2014","Mar 28 2014","genomic","1","blood","Canis lupus familiaris","breed: Beagle","gender: Female","tissue: blood","genomic DNA","genomic DNA was extracted from blood using standard procedures","biotin","standard Illumina protocols were used and labelling was performed by Illumina Inc. USA","9615","standard Illumina protocols were used and hybridization was performed by Illumina Inc. USA","standard Illumina protocols were used and scanning was performed by Illumina Inc. USA","BGL014","Illumina Inc. USA performed the intial data processing (http://res.illumina.com/documents/products/datasheets/datasheet_caninehd.pdf). The standard cluster file that was used as reference when Log R ratios and B allele frequencies were calculated was created with the samples herein by Illumina Inc. USA. Further processing was perfromed by the authors using GenomeStudio V2010.3, Genotyping Module 1.8.4 where the Log R Ratio was corrected for GC content and low quality SNPs and intensity-only SNPs were removed. Remaining number of SNPs used in the CNV calling were 172115.","ID REF, LRR_GCC are Log R ratio values after GC-correction and this was used in the subsequent CNV discovery, Score, Theta, R, Gtype, B Allele Freq, Log R Ratio","GPL17481","Anna-Maja,,Molin","Anna-Maja.Molin@slu.se","Department of Animal Breeding and Genetics","Swedish University of Agricultural Sciences","Gerda Nilssons väg 2","Uppsala","750 07","Sweden","NONE","172115","Beagle","Female","blood"
"GSM1329988","BGL015_Beagle","GSM1329988","Public on Mar 28 2014","Feb 18 2014","Mar 28 2014","genomic","1","blood","Canis lupus familiaris","breed: Beagle","gender: Female","tissue: blood","genomic DNA","genomic DNA was extracted from blood using standard procedures","biotin","standard Illumina protocols were used and labelling was performed by Illumina Inc. USA","9615","standard Illumina protocols were used and hybridization was performed by Illumina Inc. USA","standard Illumina protocols were used and scanning was performed by Illumina Inc. USA","BGL015","Illumina Inc. USA performed the intial data processing (http://res.illumina.com/documents/products/datasheets/datasheet_caninehd.pdf). The standard cluster file that was used as reference when Log R ratios and B allele frequencies were calculated was created with the samples herein by Illumina Inc. USA. Further processing was perfromed by the authors using GenomeStudio V2010.3, Genotyping Module 1.8.4 where the Log R Ratio was corrected for GC content and low quality SNPs and intensity-only SNPs were removed. Remaining number of SNPs used in the CNV calling were 172115.","ID REF, LRR_GCC are Log R ratio values after GC-correction and this was used in the subsequent CNV discovery, Score, Theta, R, Gtype, B Allele Freq, Log R Ratio","GPL17481","Anna-Maja,,Molin","Anna-Maja.Molin@slu.se","Department of Animal Breeding and Genetics","Swedish University of Agricultural Sciences","Gerda Nilssons väg 2","Uppsala","750 07","Sweden","NONE","172115","Beagle","Female","blood"
"GSM1329989","BGL021_Beagle","GSM1329989","Public on Mar 28 2014","Feb 18 2014","Mar 28 2014","genomic","1","blood","Canis lupus familiaris","breed: Beagle","gender: Female","tissue: blood","genomic DNA","genomic DNA was extracted from blood using standard procedures","biotin","standard Illumina protocols were used and labelling was performed by Illumina Inc. USA","9615","standard Illumina protocols were used and hybridization was performed by Illumina Inc. USA","standard Illumina protocols were used and scanning was performed by Illumina Inc. USA","BGL021","Illumina Inc. USA performed the intial data processing (http://res.illumina.com/documents/products/datasheets/datasheet_caninehd.pdf). The standard cluster file that was used as reference when Log R ratios and B allele frequencies were calculated was created with the samples herein by Illumina Inc. USA. Further processing was perfromed by the authors using GenomeStudio V2010.3, Genotyping Module 1.8.4 where the Log R Ratio was corrected for GC content and low quality SNPs and intensity-only SNPs were removed. Remaining number of SNPs used in the CNV calling were 172115.","ID REF, LRR_GCC are Log R ratio values after GC-correction and this was used in the subsequent CNV discovery, Score, Theta, R, Gtype, B Allele Freq, Log R Ratio","GPL17481","Anna-Maja,,Molin","Anna-Maja.Molin@slu.se","Department of Animal Breeding and Genetics","Swedish University of Agricultural Sciences","Gerda Nilssons väg 2","Uppsala","750 07","Sweden","NONE","172115","Beagle","Female","blood"
"GSM1329990","BGL023_Beagle","GSM1329990","Public on Mar 28 2014","Feb 18 2014","Mar 28 2014","genomic","1","blood","Canis lupus familiaris","breed: Beagle","gender: Male","tissue: blood","genomic DNA","genomic DNA was extracted from blood using standard procedures","biotin","standard Illumina protocols were used and labelling was performed by Illumina Inc. USA","9615","standard Illumina protocols were used and hybridization was performed by Illumina Inc. USA","standard Illumina protocols were used and scanning was performed by Illumina Inc. USA","BGL023","Illumina Inc. USA performed the intial data processing (http://res.illumina.com/documents/products/datasheets/datasheet_caninehd.pdf). The standard cluster file that was used as reference when Log R ratios and B allele frequencies were calculated was created with the samples herein by Illumina Inc. USA. Further processing was perfromed by the authors using GenomeStudio V2010.3, Genotyping Module 1.8.4 where the Log R Ratio was corrected for GC content and low quality SNPs and intensity-only SNPs were removed. Remaining number of SNPs used in the CNV calling were 172115.","ID REF, LRR_GCC are Log R ratio values after GC-correction and this was used in the subsequent CNV discovery, Score, Theta, R, Gtype, B Allele Freq, Log R Ratio","GPL17481","Anna-Maja,,Molin","Anna-Maja.Molin@slu.se","Department of Animal Breeding and Genetics","Swedish University of Agricultural Sciences","Gerda Nilssons väg 2","Uppsala","750 07","Sweden","NONE","172115","Beagle","Male","blood"
"GSM1329991","BGL024_Beagle","GSM1329991","Public on Mar 28 2014","Feb 18 2014","Mar 28 2014","genomic","1","blood","Canis lupus familiaris","breed: Beagle","gender: Male","tissue: blood","genomic DNA","genomic DNA was extracted from blood using standard procedures","biotin","standard Illumina protocols were used and labelling was performed by Illumina Inc. USA","9615","standard Illumina protocols were used and hybridization was performed by Illumina Inc. USA","standard Illumina protocols were used and scanning was performed by Illumina Inc. USA","BGL024","Illumina Inc. USA performed the intial data processing (http://res.illumina.com/documents/products/datasheets/datasheet_caninehd.pdf). The standard cluster file that was used as reference when Log R ratios and B allele frequencies were calculated was created with the samples herein by Illumina Inc. USA. Further processing was perfromed by the authors using GenomeStudio V2010.3, Genotyping Module 1.8.4 where the Log R Ratio was corrected for GC content and low quality SNPs and intensity-only SNPs were removed. Remaining number of SNPs used in the CNV calling were 172115.","ID REF, LRR_GCC are Log R ratio values after GC-correction and this was used in the subsequent CNV discovery, Score, Theta, R, Gtype, B Allele Freq, Log R Ratio","GPL17481","Anna-Maja,,Molin","Anna-Maja.Molin@slu.se","Department of Animal Breeding and Genetics","Swedish University of Agricultural Sciences","Gerda Nilssons väg 2","Uppsala","750 07","Sweden","NONE","172115","Beagle","Male","blood"
"GSM1329993","BGL027_Beagle","GSM1329993","Public on Mar 28 2014","Feb 18 2014","Mar 28 2014","genomic","1","blood","Canis lupus familiaris","breed: Beagle","gender: Female","tissue: blood","genomic DNA","genomic DNA was extracted from blood using standard procedures","biotin","standard Illumina protocols were used and labelling was performed by Illumina Inc. USA","9615","standard Illumina protocols were used and hybridization was performed by Illumina Inc. USA","standard Illumina protocols were used and scanning was performed by Illumina Inc. USA","BGL027","Illumina Inc. USA performed the intial data processing (http://res.illumina.com/documents/products/datasheets/datasheet_caninehd.pdf). The standard cluster file that was used as reference when Log R ratios and B allele frequencies were calculated was created with the samples herein by Illumina Inc. USA. Further processing was perfromed by the authors using GenomeStudio V2010.3, Genotyping Module 1.8.4 where the Log R Ratio was corrected for GC content and low quality SNPs and intensity-only SNPs were removed. Remaining number of SNPs used in the CNV calling were 172115.","ID REF, LRR_GCC are Log R ratio values after GC-correction and this was used in the subsequent CNV discovery, Score, Theta, R, Gtype, B Allele Freq, Log R Ratio","GPL17481","Anna-Maja,,Molin","Anna-Maja.Molin@slu.se","Department of Animal Breeding and Genetics","Swedish University of Agricultural Sciences","Gerda Nilssons väg 2","Uppsala","750 07","Sweden","NONE","172115","Beagle","Female","blood"
"GSM1329994","BGL031_Beagle","GSM1329994","Public on Mar 28 2014","Feb 18 2014","Mar 28 2014","genomic","1","blood","Canis lupus familiaris","breed: Beagle","gender: Female","tissue: blood","genomic DNA","genomic DNA was extracted from blood using standard procedures","biotin","standard Illumina protocols were used and labelling was performed by Illumina Inc. USA","9615","standard Illumina protocols were used and hybridization was performed by Illumina Inc. USA","standard Illumina protocols were used and scanning was performed by Illumina Inc. USA","BGL031","Illumina Inc. USA performed the intial data processing (http://res.illumina.com/documents/products/datasheets/datasheet_caninehd.pdf). The standard cluster file that was used as reference when Log R ratios and B allele frequencies were calculated was created with the samples herein by Illumina Inc. USA. Further processing was perfromed by the authors using GenomeStudio V2010.3, Genotyping Module 1.8.4 where the Log R Ratio was corrected for GC content and low quality SNPs and intensity-only SNPs were removed. Remaining number of SNPs used in the CNV calling were 172115.","ID REF, LRR_GCC are Log R ratio values after GC-correction and this was used in the subsequent CNV discovery, Score, Theta, R, Gtype, B Allele Freq, Log R Ratio","GPL17481","Anna-Maja,,Molin","Anna-Maja.Molin@slu.se","Department of Animal Breeding and Genetics","Swedish University of Agricultural Sciences","Gerda Nilssons väg 2","Uppsala","750 07","Sweden","NONE","172115","Beagle","Female","blood"
"GSM1329995","WG0087816-DNAA07_Belgian Tervuren","GSM1329995","Public on Mar 28 2014","Feb 18 2014","Mar 28 2014","genomic","1","blood","Canis lupus familiaris","breed: Belgian Tervuren","gender: Male","tissue: blood","genomic DNA","genomic DNA was extracted from blood using standard procedures","biotin","standard Illumina protocols were used and labelling was performed by Illumina Inc. USA","9615","standard Illumina protocols were used and hybridization was performed by Illumina Inc. USA","standard Illumina protocols were used and scanning was performed by Illumina Inc. USA","WG0087816-DNAA07","Illumina Inc. USA performed the intial data processing (http://res.illumina.com/documents/products/datasheets/datasheet_caninehd.pdf). The standard cluster file that was used as reference when Log R ratios and B allele frequencies were calculated was created with the samples herein by Illumina Inc. USA. Further processing was perfromed by the authors using GenomeStudio V2010.3, Genotyping Module 1.8.4 where the Log R Ratio was corrected for GC content and low quality SNPs and intensity-only SNPs were removed. Remaining number of SNPs used in the CNV calling were 172115.","ID REF, LRR_GCC are Log R ratio values after GC-correction and this was used in the subsequent CNV discovery, Score, Theta, R, Gtype, B Allele Freq, Log R Ratio","GPL17481","Anna-Maja,,Molin","Anna-Maja.Molin@slu.se","Department of Animal Breeding and Genetics","Swedish University of Agricultural Sciences","Gerda Nilssons väg 2","Uppsala","750 07","Sweden","NONE","172115","Belgian Tervuren","Male","blood"
