"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","platform_id","contact_name","contact_email","contact_phone","contact_department","contact_institute","contact_address","contact_city","contact_zip/postal_code","contact_country","supplementary_file","supplementary_file.1","data_row_count","breed:ch1","gender:ch1","tissue:ch1"
"GSM1627807","blood_lun_001","GSM1627807","Public on Mar 09 2015","Mar 09 2015","Mar 09 2015","genomic","1","blood","Canis lupus familiaris","breed: Lundehund","gender: male","tissue: blood","genomic DNA","Genomic DNA was extracted from the blood samples through a standard ethanol fractionation with concentrated sodiumchloride (6 M NaCl) and sodium dodecyl sulphate (10% SDS).","biotin","Standard Illumina protocol for Infinium HD Beadchip","9615","Standard Illumina protocol for Infinium HD Beadchip","Illumina iScan with Dual-Scanner Autoloader","Sample name: TIHO-Lundehund_001","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Ottmar,,Distl","ottmar.distl@tiho-hannover.de","+49-511-9538875","Institute for Animal Breeding and Genetics","University of Veterinary Medicine Hannover","Buenteweg 17 p","Hannover","30559","Germany","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1627nnn/GSM1627807/suppl/GSM1627807_6241366002_R05C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1627nnn/GSM1627807/suppl/GSM1627807_6241366002_R05C02_Red.idat.gz","173662","Lundehund","male","blood"
"GSM1627808","blood_lun_002","GSM1627808","Public on Mar 09 2015","Mar 09 2015","Mar 09 2015","genomic","1","blood","Canis lupus familiaris","breed: Lundehund","gender: male","tissue: blood","genomic DNA","Genomic DNA was extracted from the blood samples through a standard ethanol fractionation with concentrated sodiumchloride (6 M NaCl) and sodium dodecyl sulphate (10% SDS).","biotin","Standard Illumina protocol for Infinium HD Beadchip","9615","Standard Illumina protocol for Infinium HD Beadchip","Illumina iScan with Dual-Scanner Autoloader","Sample name: TIHO-Lundehund_002","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Ottmar,,Distl","ottmar.distl@tiho-hannover.de","+49-511-9538875","Institute for Animal Breeding and Genetics","University of Veterinary Medicine Hannover","Buenteweg 17 p","Hannover","30559","Germany","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1627nnn/GSM1627808/suppl/GSM1627808_6241366005_R05C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1627nnn/GSM1627808/suppl/GSM1627808_6241366005_R05C01_Red.idat.gz","173662","Lundehund","male","blood"
"GSM1627809","blood_lun_003","GSM1627809","Public on Mar 09 2015","Mar 09 2015","Mar 09 2015","genomic","1","blood","Canis lupus familiaris","breed: Lundehund","gender: male","tissue: blood","genomic DNA","Genomic DNA was extracted from the blood samples through a standard ethanol fractionation with concentrated sodiumchloride (6 M NaCl) and sodium dodecyl sulphate (10% SDS).","biotin","Standard Illumina protocol for Infinium HD Beadchip","9615","Standard Illumina protocol for Infinium HD Beadchip","Illumina iScan with Dual-Scanner Autoloader","Sample name: TIHO-Lundehund_003","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Ottmar,,Distl","ottmar.distl@tiho-hannover.de","+49-511-9538875","Institute for Animal Breeding and Genetics","University of Veterinary Medicine Hannover","Buenteweg 17 p","Hannover","30559","Germany","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1627nnn/GSM1627809/suppl/GSM1627809_6241366005_R05C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1627nnn/GSM1627809/suppl/GSM1627809_6241366005_R05C02_Red.idat.gz","173662","Lundehund","male","blood"
"GSM1627810","blood_lun_004","GSM1627810","Public on Mar 09 2015","Mar 09 2015","Mar 09 2015","genomic","1","blood","Canis lupus familiaris","breed: Lundehund","gender: female","tissue: blood","genomic DNA","Genomic DNA was extracted from the blood samples through a standard ethanol fractionation with concentrated sodiumchloride (6 M NaCl) and sodium dodecyl sulphate (10% SDS).","biotin","Standard Illumina protocol for Infinium HD Beadchip","9615","Standard Illumina protocol for Infinium HD Beadchip","Illumina iScan with Dual-Scanner Autoloader","Sample name: TIHO-Lundehund_004","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Ottmar,,Distl","ottmar.distl@tiho-hannover.de","+49-511-9538875","Institute for Animal Breeding and Genetics","University of Veterinary Medicine Hannover","Buenteweg 17 p","Hannover","30559","Germany","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1627nnn/GSM1627810/suppl/GSM1627810_6241243014_R05C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1627nnn/GSM1627810/suppl/GSM1627810_6241243014_R05C01_Red.idat.gz","173662","Lundehund","female","blood"
"GSM1627811","blood_lun_005","GSM1627811","Public on Mar 09 2015","Mar 09 2015","Mar 09 2015","genomic","1","blood","Canis lupus familiaris","breed: Lundehund","gender: male","tissue: blood","genomic DNA","Genomic DNA was extracted from the blood samples through a standard ethanol fractionation with concentrated sodiumchloride (6 M NaCl) and sodium dodecyl sulphate (10% SDS).","biotin","Standard Illumina protocol for Infinium HD Beadchip","9615","Standard Illumina protocol for Infinium HD Beadchip","Illumina iScan with Dual-Scanner Autoloader","Sample name: TIHO-Lundehund_005","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Ottmar,,Distl","ottmar.distl@tiho-hannover.de","+49-511-9538875","Institute for Animal Breeding and Genetics","University of Veterinary Medicine Hannover","Buenteweg 17 p","Hannover","30559","Germany","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1627nnn/GSM1627811/suppl/GSM1627811_6241243014_R05C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1627nnn/GSM1627811/suppl/GSM1627811_6241243014_R05C02_Red.idat.gz","173662","Lundehund","male","blood"
"GSM1627812","blood_lun_006","GSM1627812","Public on Mar 09 2015","Mar 09 2015","Mar 09 2015","genomic","1","blood","Canis lupus familiaris","breed: Lundehund","gender: female","tissue: blood","genomic DNA","Genomic DNA was extracted from the blood samples through a standard ethanol fractionation with concentrated sodiumchloride (6 M NaCl) and sodium dodecyl sulphate (10% SDS).","biotin","Standard Illumina protocol for Infinium HD Beadchip","9615","Standard Illumina protocol for Infinium HD Beadchip","Illumina iScan with Dual-Scanner Autoloader","Sample name: TIHO-Lundehund_006","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Ottmar,,Distl","ottmar.distl@tiho-hannover.de","+49-511-9538875","Institute for Animal Breeding and Genetics","University of Veterinary Medicine Hannover","Buenteweg 17 p","Hannover","30559","Germany","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1627nnn/GSM1627812/suppl/GSM1627812_6241366017_R05C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1627nnn/GSM1627812/suppl/GSM1627812_6241366017_R05C01_Red.idat.gz","173662","Lundehund","female","blood"
"GSM1627813","blood_lun_007","GSM1627813","Public on Mar 09 2015","Mar 09 2015","Mar 09 2015","genomic","1","blood","Canis lupus familiaris","breed: Lundehund","gender: female","tissue: blood","genomic DNA","Genomic DNA was extracted from the blood samples through a standard ethanol fractionation with concentrated sodiumchloride (6 M NaCl) and sodium dodecyl sulphate (10% SDS).","biotin","Standard Illumina protocol for Infinium HD Beadchip","9615","Standard Illumina protocol for Infinium HD Beadchip","Illumina iScan with Dual-Scanner Autoloader","Sample name: TIHO-Lundehund_007","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Ottmar,,Distl","ottmar.distl@tiho-hannover.de","+49-511-9538875","Institute for Animal Breeding and Genetics","University of Veterinary Medicine Hannover","Buenteweg 17 p","Hannover","30559","Germany","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1627nnn/GSM1627813/suppl/GSM1627813_6241366017_R05C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1627nnn/GSM1627813/suppl/GSM1627813_6241366017_R05C02_Red.idat.gz","173662","Lundehund","female","blood"
"GSM1627814","blood_lun_008","GSM1627814","Public on Mar 09 2015","Mar 09 2015","Mar 09 2015","genomic","1","blood","Canis lupus familiaris","breed: Lundehund","gender: female","tissue: blood","genomic DNA","Genomic DNA was extracted from the blood samples through a standard ethanol fractionation with concentrated sodiumchloride (6 M NaCl) and sodium dodecyl sulphate (10% SDS).","biotin","Standard Illumina protocol for Infinium HD Beadchip","9615","Standard Illumina protocol for Infinium HD Beadchip","Illumina iScan with Dual-Scanner Autoloader","Sample name: TIHO-Lundehund_008","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Ottmar,,Distl","ottmar.distl@tiho-hannover.de","+49-511-9538875","Institute for Animal Breeding and Genetics","University of Veterinary Medicine Hannover","Buenteweg 17 p","Hannover","30559","Germany","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1627nnn/GSM1627814/suppl/GSM1627814_6241366002_R06C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1627nnn/GSM1627814/suppl/GSM1627814_6241366002_R06C01_Red.idat.gz","173662","Lundehund","female","blood"
"GSM1627815","blood_lun_009","GSM1627815","Public on Mar 09 2015","Mar 09 2015","Mar 09 2015","genomic","1","blood","Canis lupus familiaris","breed: Lundehund","gender: female","tissue: blood","genomic DNA","Genomic DNA was extracted from the blood samples through a standard ethanol fractionation with concentrated sodiumchloride (6 M NaCl) and sodium dodecyl sulphate (10% SDS).","biotin","Standard Illumina protocol for Infinium HD Beadchip","9615","Standard Illumina protocol for Infinium HD Beadchip","Illumina iScan with Dual-Scanner Autoloader","Sample name: TIHO-Lundehund_009","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Ottmar,,Distl","ottmar.distl@tiho-hannover.de","+49-511-9538875","Institute for Animal Breeding and Genetics","University of Veterinary Medicine Hannover","Buenteweg 17 p","Hannover","30559","Germany","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1627nnn/GSM1627815/suppl/GSM1627815_6241366002_R06C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1627nnn/GSM1627815/suppl/GSM1627815_6241366002_R06C02_Red.idat.gz","173662","Lundehund","female","blood"
"GSM1627816","blood_lun_010","GSM1627816","Public on Mar 09 2015","Mar 09 2015","Mar 09 2015","genomic","1","blood","Canis lupus familiaris","breed: Lundehund","gender: male","tissue: blood","genomic DNA","Genomic DNA was extracted from the blood samples through a standard ethanol fractionation with concentrated sodiumchloride (6 M NaCl) and sodium dodecyl sulphate (10% SDS).","biotin","Standard Illumina protocol for Infinium HD Beadchip","9615","Standard Illumina protocol for Infinium HD Beadchip","Illumina iScan with Dual-Scanner Autoloader","Sample name: TIHO-Lundehund_010","Illumina GenomeStudio Version 2011.1 with Genotyping Module 1.9.4","GPL17481","Ottmar,,Distl","ottmar.distl@tiho-hannover.de","+49-511-9538875","Institute for Animal Breeding and Genetics","University of Veterinary Medicine Hannover","Buenteweg 17 p","Hannover","30559","Germany","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1627nnn/GSM1627816/suppl/GSM1627816_6241366005_R06C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1627nnn/GSM1627816/suppl/GSM1627816_6241366005_R06C01_Red.idat.gz","173662","Lundehund","male","blood"
