"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","description.1","data_processing","platform_id","contact_name","contact_email","contact_laboratory","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","supplementary_file","supplementary_file.1","data_row_count","breed:ch1","origin:ch1","tissue:ch1"
"GSM2539138","AHRT_1079","GSM2539138","Public on Mar 17 2017","Mar 16 2017","Mar 17 2017","genomic","1","American Hairless Terrier_whole blood","Canis lupus familiaris","origin: North America","breed: American Hairless Terrier","tissue: whole blood","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","MPR_matrix.txt","MPR_signal.txt","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2539nnn/GSM2539138/suppl/GSM2539138_9255473019_R02C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2539nnn/GSM2539138/suppl/GSM2539138_9255473019_R02C02_Red.idat.gz","173662","American Hairless Terrier","North America","whole blood"
"GSM2539139","AHRT_1080","GSM2539139","Public on Mar 17 2017","Mar 16 2017","Mar 17 2017","genomic","1","American Hairless Terrier_whole blood","Canis lupus familiaris","origin: North America","breed: American Hairless Terrier","tissue: whole blood","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","MPR_matrix.txt","MPR_signal.txt","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2539nnn/GSM2539139/suppl/GSM2539139_9270664009_R06C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2539nnn/GSM2539139/suppl/GSM2539139_9270664009_R06C02_Red.idat.gz","173662","American Hairless Terrier","North America","whole blood"
"GSM2539140","AHRT_1081","GSM2539140","Public on Mar 17 2017","Mar 16 2017","Mar 17 2017","genomic","1","American Hairless Terrier_whole blood","Canis lupus familiaris","origin: North America","breed: American Hairless Terrier","tissue: whole blood","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","MPR_matrix.txt","MPR_signal.txt","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2539nnn/GSM2539140/suppl/GSM2539140_9255473020_R01C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2539nnn/GSM2539140/suppl/GSM2539140_9255473020_R01C02_Red.idat.gz","173662","American Hairless Terrier","North America","whole blood"
"GSM2539141","AHRT_1117","GSM2539141","Public on Mar 17 2017","Mar 16 2017","Mar 17 2017","genomic","1","American Hairless Terrier_whole blood","Canis lupus familiaris","origin: North America","breed: American Hairless Terrier","tissue: whole blood","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","MPR_matrix.txt","MPR_signal.txt","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2539nnn/GSM2539141/suppl/GSM2539141_9270664010_R02C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2539nnn/GSM2539141/suppl/GSM2539141_9270664010_R02C02_Red.idat.gz","173662","American Hairless Terrier","North America","whole blood"
"GSM2539142","AHRT_1120","GSM2539142","Public on Mar 17 2017","Mar 16 2017","Mar 17 2017","genomic","1","American Hairless Terrier_whole blood","Canis lupus familiaris","origin: North America","breed: American Hairless Terrier","tissue: whole blood","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","MPR_matrix.txt","MPR_signal.txt","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2539nnn/GSM2539142/suppl/GSM2539142_9255473020_R02C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2539nnn/GSM2539142/suppl/GSM2539142_9255473020_R02C02_Red.idat.gz","173662","American Hairless Terrier","North America","whole blood"
"GSM2539143","AHRT_1121","GSM2539143","Public on Mar 17 2017","Mar 16 2017","Mar 17 2017","genomic","1","American Hairless Terrier_whole blood","Canis lupus familiaris","origin: North America","breed: American Hairless Terrier","tissue: whole blood","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","MPR_matrix.txt","MPR_signal.txt","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2539nnn/GSM2539143/suppl/GSM2539143_9270665022_R04C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2539nnn/GSM2539143/suppl/GSM2539143_9270665022_R04C01_Red.idat.gz","173662","American Hairless Terrier","North America","whole blood"
"GSM2539144","AHRT_1122","GSM2539144","Public on Mar 17 2017","Mar 16 2017","Mar 17 2017","genomic","1","American Hairless Terrier_whole blood","Canis lupus familiaris","origin: North America","breed: American Hairless Terrier","tissue: whole blood","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","MPR_matrix.txt","MPR_signal.txt","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2539nnn/GSM2539144/suppl/GSM2539144_9270665008_R04C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2539nnn/GSM2539144/suppl/GSM2539144_9270665008_R04C01_Red.idat.gz","173662","American Hairless Terrier","North America","whole blood"
"GSM2539145","AHRT_1123","GSM2539145","Public on Mar 17 2017","Mar 16 2017","Mar 17 2017","genomic","1","American Hairless Terrier_whole blood","Canis lupus familiaris","origin: North America","breed: American Hairless Terrier","tissue: whole blood","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","MPR_matrix.txt","MPR_signal.txt","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2539nnn/GSM2539145/suppl/GSM2539145_9270665022_R06C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2539nnn/GSM2539145/suppl/GSM2539145_9270665022_R06C02_Red.idat.gz","173662","American Hairless Terrier","North America","whole blood"
"GSM2539146","SVAL_8343","GSM2539146","Public on Mar 17 2017","Mar 16 2017","Mar 17 2017","genomic","1","Swedish Vallhund_whole blood","Canis lupus familiaris","origin: North America","breed: Swedish Vallhund","tissue: whole blood","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","MPR_matrix.txt","MPR_signal.txt","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2539nnn/GSM2539146/suppl/GSM2539146_101242980018_R03C02_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2539nnn/GSM2539146/suppl/GSM2539146_101242980018_R03C02_Red.idat.gz","173662","Swedish Vallhund","North America","whole blood"
"GSM2539147","BORT_8386","GSM2539147","Public on Mar 17 2017","Mar 16 2017","Mar 17 2017","genomic","1","Border Terrier_whole blood","Canis lupus familiaris","origin: North America","breed: Border Terrier","tissue: whole blood","genomic DNA","Genomic DNA was extracted from whole blood using Proteinase K and phenol/chloroform with standard protocols.","none","200ng of genomic DNA was amplified in an overnight reaction at 37oC. The amplified DNA was enzymatically fragmented, precipitated with isopropanol, and resuspended in hybridization buffer.","9615","Resuspended DNA was loaded onto BeadChips arrays and hybridized overnight at at 48oC.  Single-base extension and allele-specific staining was performed by hand.","After allele-specific staining BeadChip arrays were coated with XC4/ethanol , dried for 1 hour and scanned on a BeadArray Reader (Illumina).","MPR_matrix.txt","MPR_signal.txt","Image data was analyzed using GenomeStudio with GT module (Illumina).","GPL17481","Heidi,G,Parker","hgparker@mail.nih.gov","CGS","CGB","NHGRI","50 South Dr. Rm 5347","Bethesda","MD","20874","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2539nnn/GSM2539147/suppl/GSM2539147_9700838032_R06C01_Grn.idat.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2539nnn/GSM2539147/suppl/GSM2539147_9700838032_R06C01_Red.idat.gz","173662","Border Terrier","North America","whole blood"
