idat	number_probes	number_mid_blocks	red_green	manifest_file	sentrix_barcode	chip_type	sentrix_position	opa	sample_name	description	sample_plate	sample_well	unknown1	unknown2	chip_type_guess	scan_date	scanner_data
6241366002_R05C02_Grn.idat	191668	191668	00 00 00 00		6241366002	BeadChip 12x1Q	R05C02								CanineHD	11/15/2011 2:34:23 PM	sherlockID=N195|ScannerID=N195|Username=Illumina|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.29
6241366005_R05C01_Grn.idat	191668	191668	00 00 00 00		6241366005	BeadChip 12x1Q	R05C01								CanineHD	11/15/2011 2:25:18 PM	sherlockID=H189|ScannerID=H189|Username=FieldService|FPGAVersion=3.0.39|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.29
6241366005_R05C02_Grn.idat	191668	191668	00 00 00 00		6241366005	BeadChip 12x1Q	R05C02								CanineHD	11/15/2011 2:35:55 PM	sherlockID=H189|ScannerID=H189|Username=FieldService|FPGAVersion=3.0.39|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.29
6241243014_R05C01_Grn.idat	191668	191668	00 00 00 00		6241243014	BeadChip 12x1Q	R05C01								CanineHD	11/15/2011 2:01:37 PM	sherlockID=H189|ScannerID=H189|Username=FieldService|FPGAVersion=3.0.39|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.29
6241243014_R05C02_Grn.idat	191668	191668	00 00 00 00		6241243014	BeadChip 12x1Q	R05C02								CanineHD	11/15/2011 2:12:04 PM	sherlockID=H189|ScannerID=H189|Username=FieldService|FPGAVersion=3.0.39|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.29
6241366017_R05C01_Grn.idat	191668	191668	00 00 00 00		6241366017	BeadChip 12x1Q	R05C01								CanineHD	11/15/2011 1:59:43 PM	sherlockID=N195|ScannerID=N195|Username=Illumina|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.29
6241366017_R05C02_Grn.idat	191668	191668	00 00 00 00		6241366017	BeadChip 12x1Q	R05C02								CanineHD	11/15/2011 2:10:33 PM	sherlockID=N195|ScannerID=N195|Username=Illumina|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.29
6241366002_R06C01_Grn.idat	191668	191668	00 00 00 00		6241366002	BeadChip 12x1Q	R06C01								CanineHD	11/15/2011 2:25:24 PM	sherlockID=N195|ScannerID=N195|Username=Illumina|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.29
6241366002_R06C02_Grn.idat	191668	191668	00 00 00 00		6241366002	BeadChip 12x1Q	R06C02								CanineHD	11/15/2011 2:36:07 PM	sherlockID=N195|ScannerID=N195|Username=Illumina|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.29
6241366005_R06C01_Grn.idat	191668	191668	00 00 00 00		6241366005	BeadChip 12x1Q	R06C01								CanineHD	11/15/2011 2:27:00 PM	sherlockID=H189|ScannerID=H189|Username=FieldService|FPGAVersion=3.0.39|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.29
6241366005_R06C02_Grn.idat	191668	191668	00 00 00 00		6241366005	BeadChip 12x1Q	R06C02								CanineHD	11/15/2011 2:37:40 PM	sherlockID=H189|ScannerID=H189|Username=FieldService|FPGAVersion=3.0.39|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.29
6241243014_R06C01_Grn.idat	191668	191668	00 00 00 00		6241243014	BeadChip 12x1Q	R06C01								CanineHD	11/15/2011 2:03:23 PM	sherlockID=H189|ScannerID=H189|Username=FieldService|FPGAVersion=3.0.39|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.29
9235882009_R01C01_Grn.idat	191668	191668	00 00 00 00		9235882009	BeadChip 12x1Q	R01C01								CanineHD	6/19/2013 9:33:34 PM	sherlockID=N195|ScannerID=N195|Username=Illumina|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.29
9235882009_R01C02_Grn.idat	191668	191668	00 00 00 00		9235882009	BeadChip 12x1Q	R01C02								CanineHD	6/19/2013 9:44:53 PM	sherlockID=N195|ScannerID=N195|Username=Illumina|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.29
9235884016_R01C01_Grn.idat	191668	191668	00 00 00 00		9235884016	BeadChip 12x1Q	R01C01								CanineHD	6/19/2013 9:57:47 PM	sherlockID=N195|ScannerID=N195|Username=Illumina|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.29
9235884016_R01C02_Grn.idat	191668	191668	00 00 00 00		9235884016	BeadChip 12x1Q	R01C02								CanineHD	6/19/2013 10:08:26 PM	sherlockID=N195|ScannerID=N195|Username=Illumina|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.29
9235884023_R01C01_Grn.idat	191668	191668	00 00 00 00		9235884023	BeadChip 12x1Q	R01C01								CanineHD	6/19/2013 10:21:19 PM	sherlockID=N195|ScannerID=N195|Username=Illumina|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.29
9235884023_R01C02_Grn.idat	191668	191668	00 00 00 00		9235884023	BeadChip 12x1Q	R01C02								CanineHD	6/19/2013 10:31:59 PM	sherlockID=N195|ScannerID=N195|Username=Illumina|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.29
9235884028_R01C01_Grn.idat	191668	191668	00 00 00 00		9235884028	BeadChip 12x1Q	R01C01								CanineHD	6/19/2013 9:09:26 PM	sherlockID=N195|ScannerID=N195|Username=Illumina|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.29
9235884028_R01C02_Grn.idat	191668	191668	00 00 00 00		9235884028	BeadChip 12x1Q	R01C02								CanineHD	6/19/2013 9:20:16 PM	sherlockID=N195|ScannerID=N195|Username=Illumina|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.29
9270663009_R06C02_Grn.idat	191668	191668	00 00 00 00		9270663009	BeadChip 12x1Q	R06C02								CanineHD	10/3/2013 9:17:44 AM	sherlockID=H189|ScannerID=H189|Username=Illumina|FPGAVersion=3.0.39|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.29
9255473007_R06C01_Grn.idat	191668	191668	00 00 00 00		9255473007	BeadChip 12x1Q	R06C01								CanineHD	10/3/2013 11:40:30 AM	sherlockID=H189|ScannerID=H189|Username=Illumina|FPGAVersion=3.0.39|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.29
9388954030_R01C01_Grn.idat	191668	191668	00 00 00 00		9388954030	BeadChip 12x1Q	R01C01								CanineHD	12/18/2013 12:42:23 PM	sherlockID=N195|ScannerID=N195|Username=Illumina|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.29
9388954030_R01C02_Grn.idat	191668	191668	00 00 00 00		9388954030	BeadChip 12x1Q	R01C02								CanineHD	12/18/2013 12:53:33 PM	sherlockID=N195|ScannerID=N195|Username=Illumina|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.29
9388954030_R02C01_Grn.idat	191668	191668	00 00 00 00		9388954030	BeadChip 12x1Q	R02C01								CanineHD	12/18/2013 12:44:09 PM	sherlockID=N195|ScannerID=N195|Username=Illumina|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.29
9388954030_R02C02_Grn.idat	191668	191668	00 00 00 00		9388954030	BeadChip 12x1Q	R02C02								CanineHD	12/18/2013 12:55:42 PM	sherlockID=N195|ScannerID=N195|Username=Illumina|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.29
9388954030_R03C01_Grn.idat	191668	191668	00 00 00 00		9388954030	BeadChip 12x1Q	R03C01								CanineHD	12/18/2013 12:45:53 PM	sherlockID=N195|ScannerID=N195|Username=Illumina|FPGAVersion=4.0.20|SoftwareAppication=iScan Control Software|SoftwareVersion=3.3.29
