gtc	number_snps	ploidy	ploidy_type	sample_name	sample_plate	sample_well	cluster_file	snp_manifest	scan_date	autocall_date	autocall_version	number_normalization_transforms	number_x_controls	number_y_controls	scanner_name	pmt_green	pmt_red	scanner_software_version	scanner_username	call_rate	computed_gender	logr_deviation	gencall_score_10_percentile	dx	gencall_score_50_percentile	number_valid_calls	number_invalid_calls	number_intensity_only_or_zeroed_loci	p05_x	p50_x	p95_x	p05_y	p50_y	p95_y	sentrix_barcode
6241366002_R05C02.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	11/15/2011 2:34:23 PM	05/12/2023 6:27 PM	3.0.0	6	88	88	N195	0	0	3.3.29	Illumina	0.995503	M	0.249708	0.459403	0	0.893176	171341	774	1547	596	1308	5432	697	5260	14278	6241366002
6241366005_R05C01.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	11/15/2011 2:25:18 PM	05/12/2023 6:27 PM	3.0.0	6	88	88	H189	0	0	3.3.29	FieldService	0.991116	M	0.217442	0.459403	0	0.892629	170586	1529	1547	1459	2373	19539	1843	8567	19977	6241366005
6241366005_R05C02.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	11/15/2011 2:35:55 PM	05/12/2023 6:27 PM	3.0.0	6	88	88	H189	0	0	3.3.29	FieldService	0.988304	M	0.238761	0.459403	0	0.892635	170102	2013	1547	1397	2413	20628	1733	8696	20322	6241366005
6241243014_R05C01.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	11/15/2011 2:01:37 PM	05/12/2023 6:27 PM	3.0.0	6	88	88	H189	0	0	3.3.29	FieldService	0.988357	M	0.218654	0.448515	0	0.890996	170111	2004	1547	1443	2555	20394	1735	8757	19288	6241243014
6241243014_R05C02.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	11/15/2011 2:12:04 PM	05/12/2023 6:27 PM	3.0.0	6	88	88	H189	0	0	3.3.29	FieldService	0.989914	M	0.234321	0.459403	0	0.892829	170379	1736	1547	1167	2211	19490	1451	8041	19016	6241243014
6241366017_R05C01.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	11/15/2011 1:59:43 PM	05/12/2023 6:26 PM	3.0.0	6	88	88	N195	0	0	3.3.29	Illumina	0.993493	M	0.271249	0.459403	0	0.893094	170995	1120	1547	722	1582	6252	866	6370	17466	6241366017
6241366017_R05C02.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	11/15/2011 2:10:33 PM	05/12/2023 6:27 PM	3.0.0	6	88	88	N195	0	0	3.3.29	Illumina	0.993034	M	0.275311	0.459403	0	0.893009	170916	1199	1547	702	1572	6165	829	6288	17407	6241366017
6241366002_R06C01.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	11/15/2011 2:25:24 PM	05/12/2023 6:27 PM	3.0.0	6	88	88	N195	0	0	3.3.29	Illumina	0.993684	M	0.316290	0.459403	0	0.892888	171028	1087	1547	511	1249	5345	641	4784	14913	6241366002
6241366002_R06C02.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	11/15/2011 2:36:07 PM	05/12/2023 6:26 PM	3.0.0	6	88	88	N195	0	0	3.3.29	Illumina	0.995073	M	0.253391	0.459403	0	0.893079	171267	848	1547	627	1415	5610	751	5949	15827	6241366002
6241366005_R06C01.gtc	173662	1	0				CanineHD_A.egt	CanineHD_B.bpm	11/15/2011 2:27:00 PM	05/12/2023 6:26 PM	3.0.0	6	88	88	H189	0	0	3.3.29	FieldService	0.989298	M	0.230310	0.459403	0	0.892278	170273	1842	1547	1427	2349	18959	1986	9206	21684	6241366005
