mocha_sample_id	batch_id	green_idat	red_idat	other_id	study	broad_id_number		Comstock id	sample_type	breed	sex (annotation)	health_status	Cancer	Age	Age in DB	Age at death	date_of_birth	date_of_death	date_in_database												
GSM4195770	A	202317690048_R06C02_Grn.idat	202317690048_R06C02_Red.idat.gz	297_Borzoi_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	Borzoi	Male	Acute GDV	N	9.83	Unknown	9.83	1/1/02	10/30/11	NA												
GSM4195713	A	202317690048_R04C01_Grn.idat	202317690048_R04C01_Red.idat.gz	214_Borzoi_Acute_GDV_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	Borzoi	Female	Acute GDV	N	Unknown	Unknown	Unknown	2000	Unknown	NA												
GSM4195682	A	202317690047_R05C02_Grn.idat	202317690047_R05C02_Red.idat.gz	141_Borzoi_Acute_GDV_Male	"Plassais J, Kim J, Davis BW, Karyadi DM et al. Whole genome sequencing of canids reveals genomic regions under selection and variants influencing morphology. Nat Commun 2019 Apr 2;10(1):1489. PMID: 30940804"	NA			Blood	Borzoi	Male	Acute GDV	N	Unknown	Unknown	Unknown	2004	Unknown	NA												
GSM4195767	A	202317690048_R05C02_Grn.idat	202317690048_R05C02_Red.idat.gz	294_Borzoi_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	Borzoi	Male	Acute GDV	N	Unknown	Unknown	Unknown	2004	Unknown	NA												
GSM4195800	A	202317690043_R02C02_Grn.idat	202317690043_R02C02_Red.idat.gz	350_Borzoi_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	Borzoi	Male	Acute GDV	N	Unknown	Unknown	Unknown	2007	Unknown	NA												
GSM4195851	A	202317690059_R04C01_Grn.idat	202317690059_R04C01_Red.idat.gz	444_Borzoi_Acute_GDV_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	Borzoi	Female	Acute GDV	N	Unknown	Unknown	Unknown	2006	Unknown	NA												
GSM4195857	A	202317690036_R01C02_Grn.idat	202317690036_R01C02_Red.idat.gz	458_Borzoi_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	Borzoi	Male	Acute GDV	N	Unknown	Unknown	Unknown	2008	Unknown	NA												
GSM4195808	A	202317690038_R06C02_Grn.idat	202317690038_R06C02_Red.idat.gz	366_Briard_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	Briard	Male	Acute GDV	N	Unknown	Unknown	Unknown	2005	Unknown	NA												
GSM4195743	A	202317690050_R01C02_Grn.idat	202317690050_R01C02_Red.idat.gz	265_Collie Smooth_Acute_GDV_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	Collie Smooth	Female	Acute GDV	N	Unknown	Unknown	Unknown	1998	Unknown	NA												
GSM4195793	A	202317690059_R02C01_Grn.idat	202317690059_R02C01_Red.idat.gz	332_Collie Smooth_Acute_GDV_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	Collie Smooth	Female	Acute GDV	N	Unknown	Unknown	Unknown	1999	Unknown	NA												
GSM4195704	A	202317690060_R02C02_Grn.idat	202317690060_R02C02_Red.idat.gz	198_Collie Smooth_Acute_GDV_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	Collie Smooth	Female	Acute GDV	N	Unknown	Unknown	Unknown	2000	Unknown	NA												
GSM4195724	A	202317690050_R01C01_Grn.idat	202317690050_R01C01_Red.idat.gz	237_Collie Smooth_Acute_GDV_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	Collie Smooth	Female	Acute GDV	N	Unknown	Unknown	Unknown	2003	Unknown	NA												
GSM4195807	A	202317690038_R04C01_Grn.idat	202317690038_R04C01_Red.idat.gz	365_Doberman Pinscher_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	Doberman Pinscher	Male	Acute GDV	N	7.10	Unknown	7.10	1/1/05	2/6/12	NA												
GSM4195798	A	202317690052_R04C01_Grn.idat	202317690052_R04C01_Red.idat.gz	338_Doberman Pinscher_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	Doberman Pinscher	Male	Acute GDV	N	Unknown	Unknown	Unknown	1/1/99	Unknown	NA												
GSM4195671	A	202317690016_R05C01_Grn.idat	202317690016_R05C01_Red.idat.gz	108_Doberman Pinscher_Acute_GDV_Female	"Plassais J, Kim J, Davis BW, Karyadi DM et al. Whole genome sequencing of canids reveals genomic regions under selection and variants influencing morphology. Nat Commun 2019 Apr 2;10(1):1489. PMID: 30940804"	NA			Blood	Doberman Pinscher	Female	Acute GDV	N	Unknown	Unknown	Unknown	1/1/01	Unknown	NA												
GSM4195817	A	202317690043_R01C01_Grn.idat	202317690043_R01C01_Red.idat.gz	378_Doberman Pinscher_Acute_GDV_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	Doberman Pinscher	Female	Acute GDV	N	Unknown	Unknown	Unknown	1/1/01	Unknown	NA												
GSM4195669	A	202317690036_R01C01_Grn.idat	202317690036_R01C01_Red.idat.gz	103_Doberman Pinscher_Acute_GDV_Male	"Plassais J, Kim J, Davis BW, Karyadi DM et al. Whole genome sequencing of canids reveals genomic regions under selection and variants influencing morphology. Nat Commun 2019 Apr 2;10(1):1489. PMID: 30940804"	NA			Blood	Doberman Pinscher	Male	Acute GDV	N	Unknown	Unknown	Unknown	1/1/01	Unknown	NA												
GSM4195834	A	202317690043_R04C02_Grn.idat	202317690043_R04C02_Red.idat.gz	410_Doberman Pinscher_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	Doberman Pinscher	Male	Acute GDV	N	Unknown	Unknown	Unknown	2002	Unknown	NA												
GSM4195687	A	202317690061_R04C01_Grn.idat	202317690061_R04C01_Red.idat.gz	148_Doberman Pinscher_Acute_GDV_Male	"Plassais J, Kim J, Davis BW, Karyadi DM et al. Whole genome sequencing of canids reveals genomic regions under selection and variants influencing morphology. Nat Commun 2019 Apr 2;10(1):1489. PMID: 30940804"	NA			Blood	Doberman Pinscher	Male	Acute GDV	N	Unknown	Unknown	Unknown	2004	Unknown	NA												
GSM4195865	A	202317690051_R06C02_Grn.idat	202317690051_R06C02_Red.idat.gz	483_Doberman Pinscher_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	Doberman Pinscher	Male	Acute GDV	N	Unknown	Unknown	Unknown	2004	Unknown	NA												
GSM4195786	A	202317690016_R04C01_Grn.idat	202317690016_R04C01_Red.idat.gz	319_Doberman Pinscher_Acute_GDV_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	Doberman Pinscher	Female	Acute GDV	N	Unknown	Unknown	Unknown	2005	Unknown	NA												
GSM4195858	A	202317690016_R03C01_Grn.idat	202317690016_R03C01_Red.idat.gz	464_Doberman Pinscher_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	Doberman Pinscher	Male	Acute GDV	N	Unknown	Unknown	Unknown	2009	Unknown	NA												
GSM4195666	A	202317690059_R06C02_Grn.idat	202317690059_R06C02_Red.idat.gz	92_German Shepherd Dog_Acute_GDV_Male	"Plassais J, Kim J, Davis BW, Karyadi DM et al. Whole genome sequencing of canids reveals genomic regions under selection and variants influencing morphology. Nat Commun 2019 Apr 2;10(1):1489. PMID: 30940804"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	8.09	Unknown	8.09	1/1/03	1/31/11	NA												
GSM4195679	A	202317690047_R01C02_Grn.idat	202317690047_R01C02_Red.idat.gz	127_German Shepherd Dog_Acute_GDV_Male	"Plassais J, Kim J, Davis BW, Karyadi DM et al. Whole genome sequencing of canids reveals genomic regions under selection and variants influencing morphology. Nat Commun 2019 Apr 2;10(1):1489. PMID: 30940804"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	Unknown	Unknown	Unknown	2000	Unknown	NA												
GSM4195695	A	202317690048_R01C01_Grn.idat	202317690048_R01C01_Red.idat.gz	177_German Shepherd Dog_Acute_GDV_Male	"Plassais J, Kim J, Davis BW, Karyadi DM et al. Whole genome sequencing of canids reveals genomic regions under selection and variants influencing morphology. Nat Commun 2019 Apr 2;10(1):1489. PMID: 30940804"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	Unknown	Unknown	Unknown	2000	Unknown	NA												
