mocha_sample_id	batch_id	green_idat	red_idat	other_id	study	broad_id_number		Comstock id	sample_type	breed	sex	health_status	Cancer	Cancer_2	Age	Age in DB	Age at death	date_of_birth	date_of_death	date_in_database	Total_mcas	Collected_healthy	size	pop
GSM4195798	A	202317690052_R04C01_Grn.idat	202317690052_R04C01_Red.idat.gz	338_Doberman Pinscher_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	Doberman Pinscher	Male	Acute GDV	N	N	Unknown	Unknown	Unknown	1/1/1999	Unknown	NA	3	U	3	6
GSM4195821	A	202317690051_R01C01_Grn.idat	202317690051_R01C01_Red.idat.gz	385_Golden Retriever_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	Golden Retriever	Male	Acute GDV	N	N	Unknown	Unknown	Unknown	1999	Unknown	NA	3	U	51	6
GSM4195851	A	202317690059_R04C01_Grn.idat	202317690059_R04C01_Red.idat.gz	444_Borzoi_Acute_GDV_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	Borzoi	Female	Acute GDV	N	N	Unknown	Unknown	Unknown	2006	Unknown	NA	1	U	6	202
GSM4195743	A	202317690050_R01C02_Grn.idat	202317690050_R01C02_Red.idat.gz	265_Collie Smooth_Acute_GDV_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	Collie Smooth	Female	Acute GDV	N	N	Unknown	Unknown	Unknown	1998	Unknown	NA	1	U	1	202
GSM4195791	A	202317690038_R05C02_Grn.idat	202317690038_R05C02_Red.idat.gz	327_German Shepherd Dog_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	German Shepherd Dog	Male	Acute GDV	N	N	Unknown	Unknown	Unknown	2002	Unknown	NA	1	U	1	202
GSM4195725	A	202317690050_R02C01_Grn.idat	202317690050_R02C01_Red.idat.gz	238_Golden Retriever_Acute_GDV_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	Golden Retriever	Female	Acute GDV	N	N	Unknown	Unknown	Unknown	1996	Unknown	NA	1	U	103	202
GSM4195670	A	202317690036_R03C02_Grn.idat	202317690036_R03C02_Red.idat.gz	105_Golden Retriever_Acute_GDV_Male	"Plassais J, Kim J, Davis BW, Karyadi DM et al. Whole genome sequencing of canids reveals genomic regions under selection and variants influencing morphology. Nat Commun 2019 Apr 2;10(1):1489. PMID: 30940804"	NA			Blood	Golden Retriever	Male	Acute GDV	N	N	Unknown	Unknown	Unknown	1996	Unknown	NA	1	U	103	202
GSM4195770	A	202317690048_R06C02_Grn.idat	202317690048_R06C02_Red.idat.gz	297_Borzoi_Acute_GDV_Male	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	Borzoi	Male	Acute GDV	N	N	9.83	Unknown	9.83	1/1/2002	10/30/2011	NA	0	U	0	2859
GSM4195713	A	202317690048_R04C01_Grn.idat	202317690048_R04C01_Red.idat.gz	214_Borzoi_Acute_GDV_Female	"Piras IS, Perdigones N, Zismann V, Briones N et al. Identification of Genetic Susceptibility Factors Associated with Canine Gastric Dilatation-Volvulus. Genes (Basel) 2020 Nov 5;11(11). PMID: 33167491"	NA			Blood	Borzoi	Female	Acute GDV	N	N	Unknown	Unknown	Unknown	2000	Unknown	NA	0	U	0	2859
GSM4195682	A	202317690047_R05C02_Grn.idat	202317690047_R05C02_Red.idat.gz	141_Borzoi_Acute_GDV_Male	"Plassais J, Kim J, Davis BW, Karyadi DM et al. Whole genome sequencing of canids reveals genomic regions under selection and variants influencing morphology. Nat Commun 2019 Apr 2;10(1):1489. PMID: 30940804"	NA			Blood	Borzoi	Male	Acute GDV	N	N	Unknown	Unknown	Unknown	2004	Unknown	NA	0	U	0	2859
