sample_id	computed_gender	call_rate	lrr_median	lrr_sd	lrr_auto	baf_sd	baf_conc	baf_auto	n_sites	n_hets	x_nonpar_n_hets	par1_n_hets	xtr_n_hets	par2_n_hets	x_nonpar_baf_corr	x_nonpar_lrr_median	y_nonpar_lrr_median	mt_lrr_median	lrr_gc_rel_ess	lrr_gc_0	lrr_gc_1	lrr_gc_2
GSM1627807	M	0.9955	-0.0200	0.1997	0.0128	0.0367	0.5201	0.0331	164519	4927	0	59	0	0	-0.0000	-0.4350	nan	nan	0.0023	-0.1882	0.7606	-0.8558
GSM1627808	M	0.9911	0.0115	0.1771	0.0086	0.0379	0.5043	0.0000	164520	6265	0	59	0	0	-0.0000	-0.3920	nan	nan	0.0063	0.1267	-0.3797	0.2343
GSM1627809	M	0.9883	0.0160	0.2080	0.0085	0.0401	0.4840	-0.0149	164518	5188	0	49	0	0	-0.0000	-0.3630	nan	nan	0.0228	0.4323	-1.5407	1.2773
GSM1627810	M	0.9884	-0.0020	0.1814	0.0112	0.0497	0.6569	0.4911	164519	5588	0	79	0	0	-0.0000	-0.0210	nan	nan	0.0610	0.7315	-2.8788	2.6323
GSM1627811	M	0.9899	0.0100	0.1920	0.0048	0.0398	0.5034	-0.0228	164520	6613	0	52	0	0	-0.0000	-0.4090	nan	nan	0.0018	-0.0540	0.4133	-0.5608
GSM1627812	M	0.9935	-0.0290	0.2315	0.0089	0.0398	0.4974	-0.0106	164518	5018	0	0	0	0	-0.0000	-0.0130	nan	nan	0.0016	0.0707	-0.4464	0.3561
GSM1627813	M	0.9930	-0.0285	0.2310	0.0087	0.0412	0.5005	0.0131	164519	6027	0	0	0	0	-0.0000	-0.0240	nan	nan	0.0013	-0.1510	0.4524	-0.4455
GSM1627814	M	0.9937	-0.0495	0.2699	0.0076	0.0430	0.5000	0.0224	164518	5834	0	27	0	0	-0.0000	-0.0410	nan	nan	0.0554	-1.1265	4.4841	-4.3608
GSM1627815	M	0.9951	-0.0290	0.1967	0.0138	0.0371	0.5030	-0.0004	164518	6613	0	71	0	0	-0.0000	-0.0140	nan	nan	0.0015	-0.0204	-0.1127	0.1835
GSM1627816	M	0.9893	0.0070	0.1972	0.0039	0.0383	0.4947	-0.0083	164519	6822	0	68	0	0	-0.0000	-0.3880	nan	nan	0.0307	0.4948	-1.8696	1.6506
GSM1627817	M	0.9800	-0.0235	0.2302	0.0055	0.0431	0.5204	0.0000	164516	7298	0	49	0	0	-0.0000	-0.4190	nan	nan	0.0674	-1.0602	4.3771	-4.2712
GSM1627818	M	0.9904	0.0015	0.1826	0.0152	0.0389	0.5099	0.0278	164516	6255	0	0	0	0	-0.0000	0.0180	nan	nan	0.0748	0.7736	-3.0469	2.8013
GSM1627819	M	0.9717	-0.0595	0.3408	0.0237	0.0530	0.5179	0.0844	164496	5768	0	21	0	0	-0.0000	-0.0600	nan	nan	0.2396	-2.7249	10.7890	-10.0785
GSM1627820	M	0.9898	-0.0330	0.2623	0.0102	0.0401	0.4909	0.0172	164490	6627	0	11	0	0	-0.0000	-0.0250	nan	nan	0.1791	-2.2030	9.0855	-9.0164
GSM1627821	M	0.9863	-0.0465	0.3093	0.0169	0.0415	0.4981	0.0033	164510	6102	0	10	0	0	-0.0000	-0.0330	nan	nan	0.1884	-2.4406	9.9603	-9.7725
GSM1627822	M	0.9739	-0.0425	0.3350	0.0321	0.0511	0.5077	0.0908	164514	5929	0	0	0	0	-0.0000	-0.0420	nan	nan	0.2892	-2.8976	11.2829	-10.4098
GSM1627823	M	0.9283	-0.1098	0.4365	0.0351	0.0986	0.5468	0.1720	164512	6577	0	15	0	0	-0.0000	-0.1190	nan	nan	0.3227	-3.7161	14.1842	-12.6110
GSM1627824	M	0.9581	-0.0310	0.3336	0.0154	0.0618	0.5253	0.1326	164516	7014	0	36	0	0	-0.0000	-0.5440	nan	nan	0.2546	-2.9749	12.0888	-11.7140
GSM1627825	M	0.9516	-0.0580	0.3701	0.0178	0.0764	0.5201	0.1412	164514	6652	0	39	0	0	-0.0000	-0.0630	nan	nan	0.2629	-3.2404	12.9242	-12.3538
GSM1627826	M	0.9735	-0.0265	0.2988	0.0127	0.0561	0.5173	0.0784	164516	4568	0	27	0	0	-0.0000	-0.5530	nan	nan	0.2131	-2.4585	9.9878	-9.6954
GSM1627827	M	0.9933	-0.0075	0.1743	0.0230	0.0349	0.5050	0.0105	164504	5750	0	9	0	0	-0.0000	0.0160	nan	nan	0.0469	-0.7400	3.5284	-4.1145
GSM1627828	M	0.9860	-0.0240	0.2734	0.0257	0.0389	0.5042	0.0090	164472	4924	0	20	0	0	-0.0000	-0.0540	nan	nan	0.1601	-1.2445	4.3869	-3.4328
GSM1627829	M	0.9882	-0.0060	0.2656	0.0255	0.0490	0.5066	0.0179	164517	4850	0	48	0	0	-0.0000	-0.4570	nan	nan	0.1494	-2.1468	9.1728	-9.4088
GSM1627830	M	0.9884	-0.0473	0.3686	0.0876	0.0554	0.5048	0.0066	164514	5081	0	7	0	0	-0.0000	-0.0390	nan	nan	0.0566	-0.5458	3.4929	-5.2193
GSM1627831	M	0.9955	-0.0065	0.1907	0.0241	0.0340	0.5185	-0.0054	164515	5721	0	23	0	0	-0.0000	-0.3560	nan	nan	0.0228	-0.4369	2.2238	-2.7384
GSM1627832	M	0.9931	-0.0150	0.2051	0.0332	0.0302	0.4957	-0.0273	164518	4624	0	9	0	0	-0.0000	0.0070	nan	nan	0.1485	0.3990	-1.0195	0.0692
GSM1627833	M	0.9912	-0.0035	0.1928	0.0272	0.0343	0.5000	-0.0239	164518	6029	0	29	0	0	-0.0000	-0.3530	nan	nan	0.0280	-0.6956	3.2866	-3.8298
GSM1627834	M	0.9910	-0.0110	0.1971	0.0120	0.0346	0.4844	-0.0457	164518	5846	0	44	0	0	-0.0000	-0.0030	nan	nan	0.1321	-1.4792	6.1796	-6.2473
GSM1755109	M	0.9900	0.0450	0.2405	0.0379	0.0408	0.5073	0.0027	164517	35527	0	145	0	0	-0.0000	-0.2430	nan	nan	0.1809	1.6639	-6.3840	5.9320
GSM1755110	F	0.9791	-0.0265	0.2148	0.0254	0.0532	0.5034	0.0059	164511	35028	998	135	0	0	0.0534	-0.0170	nan	nan	0.2331	-1.7766	7.2053	-6.8639
GSM1755111	F	0.9868	0.0395	0.2223	0.0418	0.0405	0.5101	0.0180	164519	34828	991	132	0	0	0.0375	0.0590	nan	nan	0.2172	1.6269	-6.3166	5.9076
GSM1755112	M	0.9900	-0.0060	0.2166	0.0160	0.0419	0.5007	-0.0095	164519	33885	0	41	0	0	-0.0000	0.0290	nan	nan	0.0931	0.9993	-3.8724	3.4403
GSM1755113	F	0.9929	0.0150	0.2040	0.0325	0.0380	0.5023	0.0064	164515	31820	613	167	0	0	0.0345	0.0360	nan	nan	0.1405	1.2511	-4.9567	4.6877
GSM1755114	F	0.9879	0.0180	0.1920	0.0250	0.0389	0.5022	0.0115	164518	36591	611	130	0	0	0.0377	0.0290	nan	nan	0.0218	-0.5412	2.3199	-2.3065
GSM1755115	M	0.9931	0.0175	0.2167	0.0351	0.0354	0.4951	0.0087	164518	36999	0	129	0	0	-0.0000	-0.2790	nan	nan	0.2566	1.7688	-6.8532	6.3944
GSM1755116	M	0.9893	0.0290	0.1872	0.0297	0.0360	0.5034	-0.0035	164518	34536	0	120	0	0	-0.0000	-0.3010	nan	nan	0.0474	0.6594	-2.6895	2.5565
GSM1755117	M	0.9935	0.0135	0.2130	0.0269	0.0351	0.5003	0.0050	164519	30519	0	122	0	0	-0.0000	-0.2720	nan	nan	0.2248	1.6044	-6.3029	5.7995
